%Step       1-1(disp)       1-2(disp)       1-3(disp)       1-1(foce)       1-2(foce)       1-3(foce)  
    1  0.00000000E+00  0.00000000E+00 -0.18750000E-02 -0.36057692E-01 -0.28245192E+00  0.65052130E-17  
    2  0.00000000E+00  0.00000000E+00 -0.37500000E-02 -0.72115385E-01 -0.56490385E+00  0.13010426E-16  
    3  0.00000000E+00  0.00000000E+00 -0.56250000E-02 -0.10817308E+00 -0.84735577E+00 -0.17347235E-16  
    4  0.00000000E+00  0.00000000E+00 -0.75000000E-02 -0.14423077E+00 -0.11298077E+01  0.26020852E-16  
    5  0.00000000E+00  0.00000000E+00 -0.93750000E-02 -0.18028846E+00 -0.14122596E+01  0.32959746E-16  
    6  0.00000000E+00  0.00000000E+00 -0.11250000E-01 -0.21634615E+00 -0.16947115E+01  0.12143064E-16  
    7  0.00000000E+00  0.00000000E+00 -0.13125000E-01 -0.25240385E+00 -0.19771635E+01 -0.22551405E-16  
    8  0.00000000E+00  0.00000000E+00 -0.15000000E-01 -0.28846154E+00 -0.22596154E+01  0.12143064E-15  
    9  0.00000000E+00  0.00000000E+00 -0.16875000E-01 -0.32451923E+00 -0.25420673E+01  0.28102520E-15  
   10  0.00000000E+00  0.00000000E+00 -0.18750000E-01 -0.36057692E+00 -0.28245192E+01  0.22204460E-15  
   11  0.00000000E+00  0.00000000E+00 -0.20625000E-01 -0.39663462E+00 -0.31069712E+01  0.32959746E-15  
   12  0.00000000E+00  0.00000000E+00 -0.22500000E-01 -0.43269231E+00 -0.33894231E+01  0.24633073E-15  
   13  0.00000000E+00  0.00000000E+00 -0.24375000E-01 -0.46875000E+00 -0.36718750E+01  0.27061686E-15  
   14  0.00000000E+00  0.00000000E+00 -0.26250000E-01 -0.50480769E+00 -0.39543269E+01  0.14571677E-15  
   15  0.00000000E+00  0.00000000E+00 -0.28125000E-01 -0.54086538E+00 -0.42367788E+01  0.35388359E-15  
   16  0.00000000E+00  0.00000000E+00 -0.30000000E-01 -0.57692308E+00 -0.45192308E+01  0.41633363E-16  
   17  0.00000000E+00  0.00000000E+00 -0.31875000E-01 -0.61298077E+00 -0.48016827E+01  0.54817262E-15  
   18  0.00000000E+00  0.00000000E+00 -0.33750000E-01 -0.64903846E+00 -0.50841346E+01  0.23592239E-15  
   19  0.00000000E+00  0.00000000E+00 -0.35625000E-01 -0.68509615E+00 -0.53665865E+01  0.25673907E-15  
   20  0.00000000E+00  0.00000000E+00 -0.37500000E-01 -0.72115385E+00 -0.56490385E+01  0.22898350E-15  
