%Step      TotalEne.   Elastic Ene.   Plastic Ene.
    0  0.0000000E+00  0.0000000E+00  0.0000000E+00
    1  0.2824519E-02  0.2824519E-02  0.0000000E+00
    2  0.1129808E-01  0.1129808E-01  0.0000000E+00
    3  0.2542067E-01  0.2542067E-01  0.0000000E+00
    4  0.4519231E-01  0.4519231E-01  0.0000000E+00
    5  0.7061298E-01  0.7061298E-01  0.0000000E+00
    6  0.1016827E+00  0.1016827E+00  0.0000000E+00
    7  0.1384014E+00  0.1384014E+00  0.0000000E+00
    8  0.1807692E+00  0.1807692E+00  0.0000000E+00
    9  0.2287861E+00  0.2287861E+00  0.0000000E+00
   10  0.2824519E+00  0.2824519E+00  0.0000000E+00
   11  0.3417668E+00  0.3417668E+00  0.0000000E+00
   12  0.4067308E+00  0.4067308E+00  0.0000000E+00
   13  0.4773438E+00  0.4773438E+00  0.0000000E+00
   14  0.5536058E+00  0.5536058E+00  0.0000000E+00
   15  0.6355168E+00  0.6355168E+00  0.0000000E+00
   16  0.7230769E+00  0.7230769E+00  0.0000000E+00
   17  0.8162861E+00  0.8162861E+00  0.0000000E+00
   18  0.9151442E+00  0.9151442E+00  0.0000000E+00
   19  0.1019651E+01  0.1019651E+01  0.0000000E+00
   20  0.1129808E+01  0.1129808E+01  0.0000000E+00
