%Step      TotalEne.   Elastic Ene.   Plastic Ene.
    0  0.0000000E+00  0.0000000E+00  0.0000000E+00
    1  0.1089305E+00  0.1089305E+00  0.0000000E+00
    2  0.4481913E+00  0.4013536E+00  0.4683777E-01
    3  0.1036205E+01  0.4918476E+00  0.5443578E+00
    4  0.1670962E+01  0.5470755E+00  0.1123886E+01
    5  0.2324034E+01  0.6049984E+00  0.1719036E+01
    6  0.2990824E+01  0.6717223E+00  0.2319101E+01
    7  0.3670337E+01  0.7474801E+00  0.2922857E+01
    8  0.4361931E+01  0.8324349E+00  0.3529496E+01
    9  0.5065162E+01  0.9267515E+00  0.4138410E+01
   10  0.5779720E+01  0.1030586E+01  0.4749134E+01
