% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
    1 -0.93750000E-03  0.46875000E-03  0.23716923E-19  0.21634615E+00  0.72115385E-01  0.36487573E-17  
    2 -0.18750000E-02  0.93750000E-03  0.47433845E-19  0.43269231E+00  0.14423077E+00  0.72975146E-17  
    3 -0.28125000E-02  0.14062500E-02  0.11180835E-18  0.64903846E+00  0.21634615E+00  0.17201284E-16  
    4 -0.37500000E-02  0.18750000E-02  0.94867690E-19  0.86538462E+00  0.28846154E+00  0.14595029E-16  
    5 -0.46875000E-02  0.23437500E-02 -0.29137933E-18  0.10817308E+01  0.36057692E+00 -0.44827590E-16  
    6 -0.56250000E-02  0.28125000E-02 -0.70473141E-18  0.12980769E+01  0.43269231E+00 -0.10842022E-15  
    7 -0.65625000E-02  0.32812500E-02 -0.31848439E-18  0.15144231E+01  0.50480769E+00 -0.48997598E-16  
    8 -0.75000000E-02  0.37500000E-02 -0.78604658E-18  0.17307692E+01  0.57692308E+00 -0.12093024E-15  
    9 -0.84375000E-02  0.42187500E-02 -0.14772255E-17  0.19471154E+01  0.64903846E+00 -0.22726546E-15  
   10 -0.93750000E-02  0.46875000E-02 -0.15720932E-17  0.21634615E+01  0.72115385E+00 -0.24186048E-15  
   11 -0.10312500E-01  0.51562500E-02 -0.14704492E-17  0.23798077E+01  0.79326923E+00 -0.22622295E-15  
   12 -0.11250000E-01  0.56250000E-02 -0.14772255E-17  0.25961538E+01  0.86538462E+00 -0.22726546E-15  
   13 -0.12187500E-01  0.60937500E-02 -0.14501204E-17  0.28125000E+01  0.93750000E+00 -0.22309545E-15  
   14 -0.13125000E-01  0.65625000E-02 -0.14907780E-17  0.30288462E+01  0.10096154E+01 -0.22935046E-15  
   15 -0.14062500E-01  0.70312500E-02 -0.16805134E-17  0.32451923E+01  0.10817308E+01 -0.25854052E-15  
   16 -0.15000000E-01  0.75000000E-02 -0.17618285E-17  0.34615385E+01  0.11538462E+01 -0.27105054E-15  
   17 -0.15937500E-01  0.79687500E-02 -0.12603850E-17  0.36778846E+01  0.12259615E+01 -0.19390539E-15  
   18 -0.16875000E-01  0.84375000E-02 -0.74538899E-18  0.38942308E+01  0.12980769E+01 -0.11467523E-15  
   19 -0.17812500E-01  0.89062500E-02 -0.12332800E-17  0.41105769E+01  0.13701923E+01 -0.18973538E-15  
   20 -0.18750000E-01  0.93750000E-02 -0.78604658E-18  0.43269231E+01  0.14423077E+01 -0.12093024E-15  
