,,,,,,DEG_phi_dp,RAD_phi_dp,conv?,2次収束？,Last-1→Last_収束速度,Last-2→Last-1収束速度,Last_RESIDUAL,Last-1,Last-2
phi_dp,1.745329E-01,度数法,1.00E+01,,1,1.E+00,1.745.E-02,yes,no,10分の１,#NUM!,,,
psi_dp,8.726646E-02,,5.00E+00,,2,1.E-01,1.745.E-03,yes,no,1.E+02,#NUM!,,,
eta_dp,2.13E-01,,,,3,1.E-02,1.745.E-04,yes,no,1.E+03,#NUM!,,,
etabar_dp,1.04E-01,,,,4,1.E-03,1.745.E-05,,,1.5122.E+00,2.0388.E+00,4.76E-13,7.10E-09,1.01E-04
xi_dp,1.21E+00,,,,5,1.E-04,1.745.E-06,yes,YES,2.0310.E+00,3.1730.E+01,7.10E-11,1.01E-05,6.96E-01
sigma_y,200 ,MPa,,,6,1.E-05,1.745.E-07,,,,,,,
どのitrで降伏関数＝０？,10,,,,7,1.E-06,1.745.E-08,,,,,,,
total itr,100 ,,,,8,1.E-07,1.745.E-09,,,,,,,
sigma*(降伏するときのステップでの応力）,372.369 ,Mpa,,,9,1.E-08,1.745.E-10,yes,yes,,,,,
強制荷重,3723.693 ,Mpa,,,10,1.E-09,1.745.E-11,,,,,,,
sigma*/4,9.30923.E+02,Mpa,,,,,,,,,,,,
ftregを確認したいitr,11 ,,,,,,,,,,,,,
ftreg,24 ,Mpa,,,,,,,,,,,,
