%Step      TotalEne.   Elastic Ene.   Plastic Ene.
    0  0.0000000E+00  0.0000000E+00  0.0000000E+00
    1  0.1089305E+00  0.1089305E+00  0.0000000E+00
    2  0.4481635E+00  0.4014434E+00  0.4672002E-01
    3  0.1036495E+01  0.4927501E+00  0.5437453E+00
    4  0.1672197E+01  0.5488642E+00  0.1123333E+01
    5  0.2326841E+01  0.6077662E+00  0.1719075E+01
    6  0.2995872E+01  0.6755030E+00  0.2320369E+01
    7  0.3678305E+01  0.7523012E+00  0.2926004E+01
    8  0.4373502E+01  0.8383192E+00  0.3535183E+01
    9  0.5081023E+01  0.9337177E+00  0.4147306E+01
   10  0.5800560E+01  0.1038648E+01  0.4761911E+01
