セット ID,セットの値,セット　タイトル,スタディID,"エレメント 1, 60011..Solid Y Normal Stress","エレメント 1, 60051..Solid Y Normal Strain","エレメント 1, 60171..Nonlinear Solid Von Mises Stress","エレメント 1, 60184..Nonlinear Solid Effective Plastic Strain"
1,0.050000001,Case 1 Time 0.05,1,-0.050000001,-0.00025,0.029999999,0
2,0.100000001,Case 1 Time 0.1,1,-0.100000001,-0.0005,0.059999999,0
3,0.150000006,Case 1 Time 0.15,1,-0.150000006,-0.00075,0.090000004,0
4,0.200000003,Case 1 Time 0.2,1,-0.200000003,-0.001,0.119999997,0
5,0.25,Case 1 Time 0.25,1,-0.25,-0.00125,0.150000006,0
6,0.300000012,Case 1 Time 0.3,1,-0.300000012,-0.0015,0.180000007,0
7,0.349999994,Case 1 Time 0.35,1,-0.349991679,-0.001889891,0.209995002,0.000206778
8,0.375,Case 1 Time 0.375,1,-0.374986917,-0.002991459,0.224992141,0.001649879
9,0.400000006,Case 1 Time 0.4,1,-0.399986893,-0.004093235,0.239992142,0.003093255
10,0.425000012,Case 1 Time 0.425,1,-0.424986899,-0.005195012,0.254992157,0.004536631
11,0.449999988,Case 1 Time 0.45,1,-0.449986905,-0.006296789,0.269992143,0.005980006
12,0.474999994,Case 1 Time 0.475,1,-0.474986911,-0.007398565,0.284992129,0.007423382
13,0.5,Case 1 Time 0.5,1,-0.499986917,-0.008500342,0.299992144,0.008866757
14,0.524999976,Case 1 Time 0.525,1,-0.524986923,-0.009602119,0.31499213,0.010310133
15,0.550000012,Case 1 Time 0.55,1,-0.549972117,-0.010703244,0.329983264,0.011752656
16,0.574999988,Case 1 Time 0.575,1,-0.574972093,-0.01180502,0.34498328,0.01319603
17,0.600000024,Case 1 Time 0.6,1,-0.599972129,-0.012906797,0.359983265,0.014639406
18,0.625,Case 1 Time 0.625,1,-0.624972105,-0.014008574,0.374983251,0.016082782
19,0.649999976,Case 1 Time 0.65,1,-0.649972081,-0.015110351,0.389983267,0.017526157
20,0.699999988,Case 1 Time 0.7,1,-0.699973822,-0.01731398,0.419984281,0.020413008
21,0.75,Case 1 Time 0.75,1,-0.749973834,-0.019517533,0.449984282,0.023299757
22,0.800000012,Case 1 Time 0.8,1,-0.799973786,-0.021721086,0.479984283,0.026186509
23,0.850000024,Case 1 Time 0.85,1,-0.849973798,-0.023924639,0.509984314,0.029073261
24,0.899999976,Case 1 Time 0.9,1,-0.89997381,-0.026128193,0.539984286,0.031960011
25,0.949999988,Case 1 Time 0.95,1,-0.949973822,-0.028331747,0.569984257,0.034846764
26,1,Case 1 Time 1.,1,-0.999973834,-0.030535301,0.599984288,0.037733514
