Step,PlasticStrain,DruckerPrager,YieldStress,StressDifference
1,0.00211697,245.736350,204.612833,41.123517
2,0.00432257,290.496275,209.325480,81.170795
3,0.00655072,327.662563,213.991684,113.670879
4,0.00879047,361.593400,218.588470,143.004930
5,0.01103875,394.044942,223.110327,170.934615
6,0.01329361,425.746038,227.554512,198.191526
7,0.01555306,457.018513,231.918440,225.100073
8,0.01781650,487.994749,236.202441,251.792308
9,0.02008290,518.735894,240.406123,278.329771
10,0.02235195,549.274103,244.530539,304.743564
