%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
    1  0.55855380E-04 -0.18618460E-03  0.55855380E-04 -0.20341437E-16 -0.93092300E+01 -0.14289990E-14  
    2  0.11171076E-03 -0.37236920E-03  0.11171076E-03 -0.40682874E-16 -0.18618460E+02 -0.28579981E-14  
    3  0.16756614E-03 -0.55855380E-03  0.16756614E-03 -0.15044771E-14 -0.27927690E+02 -0.48496837E-14  
    4  0.22342152E-03 -0.74473840E-03  0.22342152E-03 -0.81365748E-16 -0.37236920E+02 -0.57159962E-14  
    5  0.27927690E-03 -0.93092300E-03  0.27927690E-03  0.41677034E-14 -0.46546150E+02 -0.56725657E-14  
    6  0.33513228E-03 -0.11171076E-02  0.33513228E-03 -0.16935540E-15 -0.55855380E+02 -0.80252457E-14  
    7  0.39098766E-03 -0.13032922E-02  0.39098766E-03  0.56101716E-14 -0.65164610E+02 -0.98420279E-14  
    8  0.44684304E-03 -0.14894768E-02  0.44684304E-03  0.71457265E-14 -0.74473840E+02 -0.11611610E-13  
    9  0.50269842E-03 -0.16756614E-02  0.50269842E-03  0.49277978E-14 -0.83783070E+02 -0.14059834E-13  
   10  0.55855380E-03 -0.18618460E-02  0.55855380E-03  0.18371242E-13 -0.93092300E+02 -0.99717752E-14  
   11  0.61440918E-03 -0.20480306E-02  0.61440918E-03  0.99591055E-14 -0.10240153E+03 -0.84862839E-14  
   12  0.67026456E-03 -0.22342152E-02  0.67026456E-03  0.10442781E-13 -0.11171076E+03 -0.12144016E-13  
   13  0.80902271E-03 -0.25596206E-02  0.80902271E-03  0.10509017E-13 -0.12101999E+03  0.10145790E-09  
   14  0.12832351E-02 -0.34483628E-02  0.12832351E-02  0.42868914E-14 -0.13032922E+03  0.14498140E-09  
   15  0.17574474E-02 -0.43371051E-02  0.17574474E-02  0.11538851E-13 -0.13963845E+03  0.14545452E-09  
   16  0.22316597E-02 -0.52258473E-02  0.22316597E-02 -0.17730123E-14 -0.14894768E+03  0.14402698E-09  
   17  0.27058721E-02 -0.61145896E-02  0.27058721E-02 -0.21373230E-14 -0.15825691E+03  0.14282752E-09  
   18  0.31800844E-02 -0.70033319E-02  0.31800844E-02  0.19843096E-13 -0.16756614E+03  0.14170486E-09  
   19  0.36542968E-02 -0.78920741E-02  0.36542968E-02 -0.17678601E-13 -0.17687537E+03  0.14071522E-09  
   20  0.41285091E-02 -0.87808164E-02  0.41285091E-02  0.17677117E-13 -0.18618460E+03  0.13980415E-09  
   21  0.46027214E-02 -0.96695587E-02  0.46027214E-02  0.37258771E-13 -0.19549383E+03  0.13905904E-09  
   22  0.50769338E-02 -0.10558301E-01  0.50769338E-02  0.65245272E-13 -0.20480306E+03  0.13834953E-09  
   23  0.55511461E-02 -0.11447043E-01  0.55511461E-02  0.61397201E-14 -0.21411229E+03  0.13759434E-09  
   24  0.60253585E-02 -0.12335785E-01  0.60253585E-02  0.79149395E-14 -0.22342152E+03  0.13695212E-09  
   25  0.64995708E-02 -0.13224528E-01  0.64995708E-02  0.33991144E-13 -0.23273075E+03  0.13639832E-09  
   26  0.69737832E-02 -0.14113270E-01  0.69737832E-02  0.85328906E-13 -0.24203998E+03  0.13590466E-09  
   27  0.74479955E-02 -0.15002012E-01  0.74479955E-02  0.82231513E-13 -0.25134921E+03  0.13536580E-09  
   28  0.79222078E-02 -0.15890754E-01  0.79222078E-02  0.40245679E-13 -0.26065844E+03  0.13494896E-09  
   29  0.83964202E-02 -0.16779497E-01  0.83964202E-02  0.49194566E-13 -0.26996767E+03  0.13447947E-09  
   30  0.88706325E-02 -0.17668239E-01  0.88706325E-02  0.27788594E-13 -0.27927690E+03  0.13409910E-09  
   31  0.93448449E-02 -0.18556981E-01  0.93448449E-02 -0.22927456E-13 -0.28858613E+03  0.13372606E-09  
   32  0.98190572E-02 -0.19445724E-01  0.98190572E-02 -0.10826346E-12 -0.29789536E+03  0.13320139E-09  
   33  0.10293270E-01 -0.20334466E-01  0.10293270E-01  0.13448444E-12 -0.30720459E+03  0.13326572E-09  
   34  0.10767482E-01 -0.21223208E-01  0.10767482E-01  0.94661619E-13 -0.31651382E+03  0.13277250E-09  
   35  0.11241694E-01 -0.22111950E-01  0.11241694E-01  0.32193902E-13 -0.32582305E+03  0.13242007E-09  
   36  0.11715907E-01 -0.23000693E-01  0.11715907E-01  0.12623630E-12 -0.33513228E+03  0.13223632E-09  
   37  0.12190119E-01 -0.23889435E-01  0.12190119E-01 -0.51841739E-13 -0.34444151E+03  0.13186877E-09  
   38  0.12664331E-01 -0.24778177E-01  0.12664331E-01  0.18084419E-12 -0.35375074E+03  0.13169166E-09  
   39  0.13138544E-01 -0.25666919E-01  0.13138544E-01  0.58469520E-14 -0.36305997E+03  0.13141661E-09  
   40  0.13612756E-01 -0.26555662E-01  0.13612756E-01 -0.12527385E-12 -0.37236920E+03  0.13101326E-09  
   41  0.14086968E-01 -0.27444404E-01  0.14086968E-01 -0.19469754E-13 -0.38167843E+03  0.13095364E-09  
   42  0.14561181E-01 -0.28333146E-01  0.14561181E-01 -0.29792869E-12 -0.39098766E+03  0.13055570E-09  
   43  0.15035393E-01 -0.29221888E-01  0.15035393E-01 -0.43353365E-13 -0.40029689E+03  0.13048608E-09  
   44  0.15509605E-01 -0.30110631E-01  0.15509605E-01 -0.19557224E-12 -0.40960612E+03  0.13024773E-09  
   45  0.15983818E-01 -0.30999373E-01  0.15983818E-01 -0.89831338E-13 -0.41891535E+03  0.13007912E-09  
   46  0.16458030E-01 -0.31888115E-01  0.16458030E-01 -0.18661558E-12 -0.42822458E+03  0.12980094E-09  
   47  0.16932242E-01 -0.32776857E-01  0.16932242E-01 -0.24270864E-12 -0.43753381E+03  0.12978457E-09  
   48  0.17406455E-01 -0.33665600E-01  0.17406455E-01  0.13121784E-12 -0.44684304E+03  0.12958058E-09  
   49  0.17880667E-01 -0.34554342E-01  0.17880667E-01  0.20581527E-12 -0.45615227E+03  0.12976837E-09  
   50  0.18354879E-01 -0.35443084E-01  0.18354879E-01 -0.26099808E-12 -0.46546150E+03  0.12935424E-09  
