%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
    1  0.55855380E-04 -0.18618460E-03  0.55855380E-04 -0.20341437E-16 -0.93092300E+01 -0.14289990E-14  
    2  0.11171076E-03 -0.37236920E-03  0.11171076E-03 -0.40682874E-16 -0.18618460E+02 -0.28579981E-14  
    3  0.16756614E-03 -0.55855380E-03  0.16756614E-03 -0.15044771E-14 -0.27927690E+02 -0.48496837E-14  
    4  0.22342152E-03 -0.74473840E-03  0.22342152E-03 -0.81365748E-16 -0.37236920E+02 -0.57159962E-14  
    5  0.27927690E-03 -0.93092300E-03  0.27927690E-03  0.41677034E-14 -0.46546150E+02 -0.56725657E-14  
    6  0.33513228E-03 -0.11171076E-02  0.33513228E-03 -0.16935540E-15 -0.55855380E+02 -0.80252457E-14  
    7  0.39098766E-03 -0.13032922E-02  0.39098766E-03  0.56101716E-14 -0.65164610E+02 -0.98420279E-14  
    8  0.44684304E-03 -0.14894768E-02  0.44684304E-03  0.71457265E-14 -0.74473840E+02 -0.11611610E-13  
    9  0.50269842E-03 -0.16756614E-02  0.50269842E-03  0.49277978E-14 -0.83783070E+02 -0.14059834E-13  
   10  0.55855380E-03 -0.18618460E-02  0.55855380E-03  0.18371242E-13 -0.93092300E+02 -0.99717752E-14  
   11  0.61440918E-03 -0.20480306E-02  0.61440918E-03  0.99591055E-14 -0.10240153E+03 -0.84862839E-14  
   12  0.67026456E-03 -0.22342152E-02  0.67026456E-03  0.10442781E-13 -0.11171076E+03 -0.12144016E-13  
   13  0.72611994E-03 -0.24203998E-02  0.72611994E-03  0.15349867E-13 -0.12101999E+03 -0.16596229E-13  
   14  0.78231207E-03 -0.26069810E-02  0.78231207E-03 -0.11110887E-13 -0.13032922E+03 -0.57122703E-14  
   15  0.13036290E-02 -0.33412848E-02  0.13036290E-02 -0.24663512E-13 -0.13963845E+03 -0.25352815E-13  
   16  0.18249458E-02 -0.40755887E-02  0.18249458E-02 -0.61706849E-14 -0.14894768E+03 -0.29403074E-13  
   17  0.23462627E-02 -0.48098925E-02  0.23462627E-02 -0.21007333E-14 -0.15825691E+03 -0.20954546E-13  
   18  0.28675796E-02 -0.55441964E-02  0.28675796E-02 -0.14846610E-13 -0.16756614E+03 -0.15230967E-13  
   19  0.33888965E-02 -0.62785002E-02  0.33888965E-02 -0.20190222E-13 -0.17687537E+03 -0.37190997E-13  
   20  0.39102134E-02 -0.70128041E-02  0.39102134E-02 -0.26467629E-13 -0.18618460E+03 -0.18926557E-13  
   21  0.44315302E-02 -0.77471079E-02  0.44315302E-02 -0.32777021E-13 -0.19549383E+03 -0.58832013E-13  
   22  0.49528471E-02 -0.84814118E-02  0.49528471E-02 -0.62896147E-13 -0.20480306E+03 -0.10595441E-12  
   23  0.54741640E-02 -0.92157156E-02  0.54741640E-02 -0.67126983E-14 -0.21411229E+03 -0.46910785E-13  
   24  0.59954809E-02 -0.99500195E-02  0.59954809E-02 -0.70589868E-13 -0.22342152E+03 -0.69315181E-13  
   25  0.65167978E-02 -0.10684323E-01  0.65167978E-02 -0.29928116E-13 -0.23273075E+03 -0.45878654E-13  
   26  0.70381146E-02 -0.11418627E-01  0.70381146E-02 -0.57347449E-13 -0.24203998E+03 -0.66289765E-13  
   27  0.75594315E-02 -0.12152931E-01  0.75594315E-02 -0.32645896E-13 -0.25134921E+03  0.79851867E-14  
   28  0.80807484E-02 -0.12887235E-01  0.80807484E-02 -0.30162801E-13 -0.26065844E+03  0.60177994E-14  
   29  0.86020653E-02 -0.13621539E-01  0.86020653E-02 -0.56447875E-13 -0.26996767E+03  0.15411458E-13  
   30  0.91233822E-02 -0.14355843E-01  0.91233822E-02 -0.63383184E-13 -0.27927690E+03  0.50625564E-14  
   31  0.96446990E-02 -0.15090146E-01  0.96446990E-02 -0.35967388E-13 -0.28858613E+03  0.84373856E-13  
   32  0.10166016E-01 -0.15824450E-01  0.10166016E-01 -0.55121838E-13 -0.29789536E+03 -0.98301998E-14  
   33  0.10687333E-01 -0.16558754E-01  0.10687333E-01 -0.19954148E-13 -0.30720459E+03  0.10711484E-14  
   34  0.11208650E-01 -0.17293058E-01  0.11208650E-01 -0.50204210E-13 -0.31651382E+03  0.46482891E-13  
   35  0.11729967E-01 -0.18027362E-01  0.11729967E-01 -0.72933602E-13 -0.32582305E+03  0.20997203E-13  
   36  0.12251283E-01 -0.18761666E-01  0.12251283E-01 -0.14492319E-12 -0.33513228E+03 -0.11569929E-12  
   37  0.12772600E-01 -0.19495970E-01  0.12772600E-01 -0.34938582E-12 -0.34444151E+03 -0.15634092E-12  
   38  0.13293917E-01 -0.20230273E-01  0.13293917E-01 -0.25577869E-12 -0.35375074E+03 -0.19187335E-12  
   39  0.13815234E-01 -0.20964577E-01  0.13815234E-01 -0.14340326E-12 -0.36305997E+03 -0.93820489E-13  
   40  0.14336551E-01 -0.21698881E-01  0.14336551E-01 -0.24703903E-12 -0.37236920E+03 -0.21036362E-12  
   41  0.14857868E-01 -0.22433185E-01  0.14857868E-01 -0.27016733E-12 -0.38167843E+03 -0.17666258E-12  
   42  0.15379185E-01 -0.23167489E-01  0.15379185E-01 -0.29375044E-12 -0.39098766E+03 -0.18170440E-12  
   43  0.15900502E-01 -0.23901793E-01  0.15900502E-01 -0.24204328E-12 -0.40029689E+03 -0.18552152E-12  
   44  0.16421818E-01 -0.24636096E-01  0.16421818E-01 -0.20347397E-13 -0.40960612E+03  0.60644471E-13  
   45  0.16943135E-01 -0.25370400E-01  0.16943135E-01 -0.24788546E-12 -0.41891535E+03 -0.69968365E-13  
   46  0.17464452E-01 -0.26104704E-01  0.17464452E-01 -0.69484712E-13 -0.42822458E+03  0.52959317E-13  
   47  0.17985769E-01 -0.26839008E-01  0.17985769E-01 -0.11083309E-12 -0.43753381E+03 -0.55917859E-13  
   48  0.18507086E-01 -0.27573312E-01  0.18507086E-01  0.49781122E-13 -0.44684304E+03  0.10450886E-12  
   49  0.19028403E-01 -0.28307616E-01  0.19028403E-01  0.11354966E-12 -0.45615227E+03  0.88826344E-13  
