%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
    1  0.30000000E-04 -0.10000000E-03  0.30000000E-04 -0.83527209E-15 -0.50000000E+01 -0.37466107E-15  
    2  0.60000000E-04 -0.20000000E-03  0.60000000E-04 -0.16705442E-14 -0.10000000E+02 -0.74932214E-15  
    3  0.90000000E-04 -0.30000000E-03  0.90000000E-04 -0.38794613E-14 -0.15000000E+02 -0.16793634E-14  
    4  0.12000000E-03 -0.40000000E-03  0.12000000E-03 -0.33410883E-14 -0.20000000E+02 -0.14986443E-14  
    5  0.15000000E-03 -0.50000000E-03  0.15000000E-03 -0.57819026E-14 -0.25000000E+02 -0.14854136E-14  
    6  0.18000000E-03 -0.60000000E-03  0.18000000E-03 -0.80156643E-14 -0.30000000E+02 -0.43003488E-14  
    7  0.21000000E-03 -0.70000000E-03  0.21000000E-03 -0.10955679E-13 -0.35000000E+02 -0.52746979E-14  
    8  0.24000000E-03 -0.80000000E-03  0.24000000E-03 -0.70455372E-14 -0.40000000E+02 -0.16815646E-14  
    9  0.27000000E-03 -0.90000000E-03  0.27000000E-03 -0.14007318E-13 -0.45000000E+02 -0.56732021E-14  
   10  0.30000000E-03 -0.10000000E-02  0.30000000E-03 -0.14040531E-13 -0.50000000E+02 -0.11456856E-14  
   11  0.33000000E-03 -0.11000000E-02  0.33000000E-03 -0.16032652E-13 -0.55000000E+02 -0.54650221E-14  
   12  0.36000000E-03 -0.12000000E-02  0.36000000E-03 -0.24871306E-13 -0.60000000E+02 -0.12291489E-13  
   13  0.39000000E-03 -0.13000000E-02  0.39000000E-03 -0.14974285E-13 -0.65000000E+02 -0.71121238E-14  
   14  0.42000000E-03 -0.14000000E-02  0.42000000E-03 -0.25365993E-13 -0.70000000E+02 -0.98340185E-14  
   15  0.45000000E-03 -0.15000000E-02  0.45000000E-03 -0.29693178E-13 -0.75000000E+02 -0.17030236E-13  
   16  0.48000000E-03 -0.16000000E-02  0.48000000E-03 -0.32711058E-13 -0.80000000E+02 -0.12560306E-13  
   17  0.51000000E-03 -0.17000000E-02  0.51000000E-03 -0.28733561E-13 -0.85000000E+02 -0.16100421E-13  
   18  0.54000000E-03 -0.18000000E-02  0.54000000E-03 -0.41780544E-13 -0.90000000E+02 -0.21992409E-13  
   19  0.57000000E-03 -0.19000000E-02  0.57000000E-03 -0.33164354E-13 -0.95000000E+02 -0.16849379E-13  
   20  0.60000000E-03 -0.20000000E-02  0.60000000E-03 -0.28105900E-13 -0.10000000E+03 -0.60145290E-14  
   21  0.63000000E-03 -0.21000000E-02  0.63000000E-03 -0.28256199E-13 -0.10500000E+03 -0.13411785E-13  
   22  0.66000000E-03 -0.22000000E-02  0.66000000E-03 -0.39938643E-13 -0.11000000E+03 -0.20395682E-13  
   23  0.69000000E-03 -0.23000000E-02  0.69000000E-03 -0.29966727E-13 -0.11500000E+03 -0.16285221E-13  
   24  0.72286878E-03 -0.24000000E-02  0.72286878E-03 -0.63565662E-14 -0.11934131E+03 -0.41702657E-14  
   25  0.77010715E-03 -0.25000000E-02  0.77010715E-03  0.50787582E-09 -0.12034497E+03  0.50787675E-09  
   26  0.81656714E-03 -0.26000000E-02  0.81656714E-03  0.37838909E-11 -0.12133327E+03  0.37856942E-11  
   27  0.86301348E-03 -0.27000000E-02  0.86301348E-03  0.22361001E-10 -0.12232190E+03  0.22356343E-10  
   28  0.90944435E-03 -0.28000000E-02  0.90944435E-03  0.64451387E-10 -0.12331081E+03  0.64451611E-10  
   29  0.95586054E-03 -0.29000000E-02  0.95586054E-03  0.13566696E-09 -0.12429999E+03  0.13567106E-09  
   30  0.10022628E-02 -0.30000000E-02  0.10022628E-02  0.23929680E-09 -0.12528942E+03  0.23929398E-09  
   31  0.10486518E-02 -0.31000000E-02  0.10486518E-02  0.37688942E-09 -0.12627909E+03  0.37688175E-09  
   32  0.10950283E-02 -0.32000000E-02  0.10950283E-02  0.54855830E-09 -0.12726900E+03  0.54855351E-09  
