%Step      TotalEne.   Elastic Ene.   Plastic Ene.
    0  0.0000000E+00  0.0000000E+00  0.0000000E+00
    1  0.1000000E-02  0.1000000E-02  0.0000000E+00
    2  0.4000000E-02  0.4000000E-02  0.0000000E+00
    3  0.9000000E-02  0.9000000E-02  0.0000000E+00
    4  0.1600000E-01  0.1600000E-01  0.0000000E+00
    5  0.2500000E-01  0.2500000E-01  0.0000000E+00
    6  0.3600000E-01  0.3600000E-01  0.0000000E+00
    7  0.4900000E-01  0.4900000E-01  0.0000000E+00
    8  0.6400000E-01  0.6400000E-01  0.0000000E+00
    9  0.8100000E-01  0.8100000E-01  0.0000000E+00
   10  0.1000000E+00  0.1000000E+00  0.4698705E-16
   11  0.1200930E+00  0.1009546E+00  0.1913832E-01
   12  0.1402812E+00  0.1019138E+00  0.3836735E-01
   13  0.1605646E+00  0.1028776E+00  0.5768707E-01
   14  0.1809433E+00  0.1038458E+00  0.7709751E-01
   15  0.2014172E+00  0.1048186E+00  0.9659864E-01
   16  0.2219864E+00  0.1057959E+00  0.1161905E+00
   17  0.2426508E+00  0.1067778E+00  0.1358730E+00
   18  0.2634104E+00  0.1077642E+00  0.1556463E+00
   19  0.2842653E+00  0.1087551E+00  0.1755102E+00
   20  0.3052154E+00  0.1097506E+00  0.1954649E+00
   21  0.3262608E+00  0.1107506E+00  0.2155102E+00
   22  0.3474014E+00  0.1117551E+00  0.2356463E+00
   23  0.3686372E+00  0.1127642E+00  0.2558730E+00
   24  0.3899683E+00  0.1137778E+00  0.2761905E+00
   25  0.4113946E+00  0.1147959E+00  0.2965986E+00
   26  0.4329161E+00  0.1158186E+00  0.3170975E+00
   27  0.4545329E+00  0.1168458E+00  0.3376871E+00
   28  0.4762449E+00  0.1178776E+00  0.3583673E+00
   29  0.4980522E+00  0.1189138E+00  0.3791383E+00
   30  0.5199546E+00  0.1199546E+00  0.4000000E+00
   31  0.5419524E+00  0.1210000E+00  0.4209524E+00
   32  0.5640454E+00  0.1220499E+00  0.4419955E+00
   33  0.5862336E+00  0.1231043E+00  0.4631293E+00
   34  0.6085170E+00  0.1241633E+00  0.4843537E+00
   35  0.6308957E+00  0.1252268E+00  0.5056689E+00
   36  0.6533696E+00  0.1262948E+00  0.5270748E+00
   37  0.6759388E+00  0.1273673E+00  0.5485714E+00
   38  0.6986032E+00  0.1284444E+00  0.5701587E+00
   39  0.7213628E+00  0.1295261E+00  0.5918367E+00
   40  0.7442177E+00  0.1306122E+00  0.6136054E+00
   41  0.7671678E+00  0.1317029E+00  0.6354649E+00
   42  0.7902132E+00  0.1327982E+00  0.6574150E+00
   43  0.8133537E+00  0.1338980E+00  0.6794558E+00
   44  0.8365896E+00  0.1350023E+00  0.7015873E+00
   45  0.8599206E+00  0.1361111E+00  0.7238095E+00
   46  0.8833469E+00  0.1372245E+00  0.7461224E+00
   47  0.9068685E+00  0.1383424E+00  0.7685261E+00
   48  0.9304853E+00  0.1394649E+00  0.7910204E+00
   49  0.9541973E+00  0.1405918E+00  0.8136054E+00
   50  0.9780045E+00  0.1417234E+00  0.8362812E+00
   51  0.1001907E+01  0.1428594E+00  0.8590476E+00
   52  0.1025905E+01  0.1440000E+00  0.8819048E+00
   53  0.1049998E+01  0.1451451E+00  0.9048526E+00
   54  0.1074186E+01  0.1462948E+00  0.9278912E+00
   55  0.1098469E+01  0.1474490E+00  0.9510204E+00
   56  0.1122848E+01  0.1486077E+00  0.9742404E+00
   57  0.1147322E+01  0.1497710E+00  0.9975510E+00
   58  0.1171891E+01  0.1509388E+00  0.1020952E+01
   59  0.1196556E+01  0.1521111E+00  0.1044444E+01
   60  0.1221315E+01  0.1532880E+00  0.1068027E+01
   61  0.1246170E+01  0.1544694E+00  0.1091701E+01
   62  0.1271120E+01  0.1556553E+00  0.1115465E+01
   63  0.1296166E+01  0.1568458E+00  0.1139320E+01
   64  0.1321306E+01  0.1580408E+00  0.1163265E+01
   65  0.1346542E+01  0.1592404E+00  0.1187302E+01
   66  0.1371873E+01  0.1604444E+00  0.1211429E+01
   67  0.1397299E+01  0.1616531E+00  0.1235646E+01
   68  0.1422821E+01  0.1628662E+00  0.1259955E+01
   69  0.1448438E+01  0.1640839E+00  0.1284354E+01
   70  0.1474150E+01  0.1653061E+00  0.1308844E+01
   71  0.1499957E+01  0.1665329E+00  0.1333424E+01
   72  0.1525859E+01  0.1677642E+00  0.1358095E+01
   73  0.1551857E+01  0.1690000E+00  0.1382857E+01
   74  0.1577950E+01  0.1702404E+00  0.1407710E+01
   75  0.1604138E+01  0.1714853E+00  0.1432653E+01
   76  0.1630422E+01  0.1727347E+00  0.1457687E+01
   77  0.1656800E+01  0.1739887E+00  0.1482812E+01
   78  0.1683274E+01  0.1752472E+00  0.1508027E+01
   79  0.1709844E+01  0.1765102E+00  0.1533333E+01
   80  0.1736508E+01  0.1777778E+00  0.1558730E+01
   81  0.1763268E+01  0.1790499E+00  0.1584218E+01
   82  0.1790122E+01  0.1803265E+00  0.1609796E+01
   83  0.1817073E+01  0.1816077E+00  0.1635465E+01
   84  0.1844118E+01  0.1828934E+00  0.1661224E+01
   85  0.1871259E+01  0.1841837E+00  0.1687075E+01
   86  0.1898494E+01  0.1854785E+00  0.1713016E+01
   87  0.1925825E+01  0.1867778E+00  0.1739048E+01
   88  0.1953252E+01  0.1880816E+00  0.1765170E+01
   89  0.1980773E+01  0.1893900E+00  0.1791383E+01
   90  0.2008390E+01  0.1907029E+00  0.1817687E+01
   91  0.2036102E+01  0.1920204E+00  0.1844082E+01
   92  0.2063909E+01  0.1933424E+00  0.1870567E+01
   93  0.2091812E+01  0.1946689E+00  0.1897143E+01
   94  0.2119810E+01  0.1960000E+00  0.1923810E+01
