%Step      TotalEne.   Elastic Ene.   Plastic Ene.
    0  0.0000000E+00  0.0000000E+00  0.0000000E+00
    1  0.3466471E-02  0.3466471E-02  0.0000000E+00
    2  0.1386588E-01  0.1386588E-01  0.0000000E+00
    3  0.3119823E-01  0.3119823E-01  0.0000000E+00
    4  0.5546353E-01  0.5546353E-01  0.0000000E+00
    5  0.8666176E-01  0.8666176E-01  0.0000000E+00
    6  0.1247929E+00  0.1247929E+00  0.0000000E+00
    7  0.1698571E+00  0.1698571E+00  0.0000000E+00
    8  0.2218541E+00  0.2218541E+00  0.0000000E+00
    9  0.2807841E+00  0.2807841E+00  0.0000000E+00
   10  0.3466471E+00  0.3466471E+00  0.0000000E+00
   11  0.4194429E+00  0.4194429E+00  0.0000000E+00
   12  0.4991718E+00  0.4991718E+00  0.0000000E+00
   13  0.6872096E+00  0.5858335E+00  0.1013761E+00
   14  0.1331736E+01  0.6794282E+00  0.6523081E+00
   15  0.2022548E+01  0.7799559E+00  0.1242593E+01
   16  0.2759646E+01  0.8874165E+00  0.1872229E+01
   17  0.3543028E+01  0.1001810E+01  0.2541218E+01
   18  0.4372696E+01  0.1123136E+01  0.3249559E+01
   19  0.5248649E+01  0.1251396E+01  0.3997253E+01
   20  0.6170887E+01  0.1386588E+01  0.4784299E+01
   21  0.7139410E+01  0.1528714E+01  0.5610697E+01
   22  0.8154219E+01  0.1677772E+01  0.6476447E+01
   23  0.9215313E+01  0.1833763E+01  0.7381550E+01
   24  0.1032269E+02  0.1996687E+01  0.8326005E+01
   25  0.1147636E+02  0.2166544E+01  0.9309812E+01
   26  0.1267631E+02  0.2343334E+01  0.1033297E+02
   27  0.1392254E+02  0.2527057E+01  0.1139548E+02
   28  0.1521506E+02  0.2717713E+01  0.1249735E+02
   29  0.1655387E+02  0.2915302E+01  0.1363856E+02
   30  0.1793896E+02  0.3119823E+01  0.1481913E+02
   31  0.1937033E+02  0.3331278E+01  0.1603905E+02
   32  0.2084799E+02  0.3549666E+01  0.1729833E+02
   33  0.2237194E+02  0.3774986E+01  0.1859695E+02
   34  0.2394217E+02  0.4007240E+01  0.1993493E+02
   35  0.2555869E+02  0.4246426E+01  0.2131226E+02
   36  0.2722149E+02  0.4492546E+01  0.2272894E+02
   37  0.2893058E+02  0.4745598E+01  0.2418498E+02
   38  0.3068595E+02  0.5005583E+01  0.2568037E+02
   39  0.3248761E+02  0.5272502E+01  0.2721510E+02
   40  0.3433555E+02  0.5546353E+01  0.2878920E+02
   41  0.3622978E+02  0.5827137E+01  0.3040264E+02
   42  0.3817029E+02  0.6114854E+01  0.3205544E+02
   43  0.4015709E+02  0.6409504E+01  0.3374759E+02
   44  0.4219017E+02  0.6711087E+01  0.3547909E+02
   45  0.4426954E+02  0.7019603E+01  0.3724994E+02
   46  0.4639520E+02  0.7335052E+01  0.3906014E+02
   47  0.4856714E+02  0.7657433E+01  0.4090970E+02
   48  0.5078536E+02  0.7986748E+01  0.4279861E+02
   49  0.5304987E+02  0.8322996E+01  0.4472687E+02
   50  0.5536067E+02  0.8666176E+01  0.4669449E+02
   51  0.5771775E+02  0.9016290E+01  0.4870146E+02
   52  0.6012111E+02  0.9373336E+01  0.5074778E+02
   53  0.6257076E+02  0.9737316E+01  0.5283345E+02
   54  0.6506670E+02  0.1010823E+02  0.5495847E+02
   55  0.6760892E+02  0.1048607E+02  0.5712285E+02
   56  0.7019743E+02  0.1087085E+02  0.5932657E+02
   57  0.7283222E+02  0.1126256E+02  0.6156966E+02
   58  0.7551329E+02  0.1166121E+02  0.6385209E+02
   59  0.7824066E+02  0.1206678E+02  0.6617387E+02
   60  0.8101430E+02  0.1247929E+02  0.6853501E+02
