%Step      TotalEne.   Elastic Ene.   Plastic Ene.
    0  0.0000000E+00  0.0000000E+00  0.0000000E+00
    1  0.3466471E-02  0.3466471E-02  0.0000000E+00
    2  0.1386588E-01  0.1386588E-01  0.0000000E+00
    3  0.3119823E-01  0.3119823E-01  0.0000000E+00
    4  0.5546353E-01  0.5546353E-01  0.0000000E+00
    5  0.8666176E-01  0.8666176E-01  0.0000000E+00
    6  0.1247929E+00  0.1247929E+00  0.0000000E+00
    7  0.1698571E+00  0.1698571E+00  0.0000000E+00
    8  0.2218541E+00  0.2218541E+00  0.0000000E+00
    9  0.2807841E+00  0.2807841E+00  0.0000000E+00
   10  0.3466471E+00  0.3466471E+00  0.0000000E+00
   11  0.4194429E+00  0.4194429E+00  0.0000000E+00
   12  0.4991718E+00  0.4991718E+00  0.0000000E+00
   13  0.5858335E+00  0.5858335E+00  0.0000000E+00
   14  0.6794282E+00  0.6794282E+00  0.0000000E+00
   15  0.7799559E+00  0.7799559E+00  0.0000000E+00
   16  0.1228564E+01  0.8874165E+00  0.3411480E+00
   17  0.1893161E+01  0.1001810E+01  0.8913508E+00
   18  0.2597055E+01  0.1123136E+01  0.1473918E+01
   19  0.3340247E+01  0.1251396E+01  0.2088851E+01
   20  0.4122736E+01  0.1386588E+01  0.2736148E+01
   21  0.4944524E+01  0.1528714E+01  0.3415810E+01
   22  0.5805609E+01  0.1677772E+01  0.4127838E+01
   23  0.6705992E+01  0.1833763E+01  0.4872230E+01
   24  0.7645673E+01  0.1996687E+01  0.5648986E+01
   25  0.8624652E+01  0.2166544E+01  0.6458108E+01
   26  0.9642929E+01  0.2343334E+01  0.7299595E+01
   27  0.1070050E+02  0.2527057E+01  0.8173446E+01
   28  0.1179738E+02  0.2717713E+01  0.9079662E+01
   29  0.1293355E+02  0.2915302E+01  0.1001824E+02
   30  0.1410901E+02  0.3119823E+01  0.1098919E+02
   31  0.1532378E+02  0.3331278E+01  0.1199250E+02
   32  0.1657784E+02  0.3549666E+01  0.1302818E+02
   33  0.1787120E+02  0.3774986E+01  0.1409622E+02
   34  0.1920386E+02  0.4007240E+01  0.1519662E+02
   35  0.2057582E+02  0.4246426E+01  0.1632939E+02
   36  0.2198707E+02  0.4492546E+01  0.1749453E+02
   37  0.2343763E+02  0.4745598E+01  0.1869203E+02
   38  0.2492748E+02  0.5005583E+01  0.1992189E+02
   39  0.2645662E+02  0.5272502E+01  0.2118412E+02
   40  0.2802507E+02  0.5546353E+01  0.2247872E+02
   41  0.2963281E+02  0.5827137E+01  0.2380568E+02
   42  0.3127986E+02  0.6114854E+01  0.2516500E+02
   43  0.3296619E+02  0.6409504E+01  0.2655669E+02
   44  0.3469183E+02  0.6711087E+01  0.2798075E+02
   45  0.3645677E+02  0.7019603E+01  0.2943716E+02
   46  0.3826100E+02  0.7335052E+01  0.3092595E+02
   47  0.4010453E+02  0.7657433E+01  0.3244710E+02
   48  0.4198736E+02  0.7986748E+01  0.3400061E+02
   49  0.4390948E+02  0.8322996E+01  0.3558649E+02
   50  0.4587091E+02  0.8666176E+01  0.3720473E+02
   51  0.4787163E+02  0.9016290E+01  0.3885534E+02
   52  0.4991165E+02  0.9373336E+01  0.4053831E+02
   53  0.5199097E+02  0.9737316E+01  0.4225365E+02
   54  0.5410958E+02  0.1010823E+02  0.4400135E+02
   55  0.5626750E+02  0.1048607E+02  0.4578142E+02
   56  0.5846471E+02  0.1087085E+02  0.4759386E+02
   57  0.6070122E+02  0.1126256E+02  0.4943865E+02
   58  0.6297702E+02  0.1166121E+02  0.5131581E+02
   59  0.6529213E+02  0.1206678E+02  0.5322534E+02
   60  0.6764653E+02  0.1247929E+02  0.5516723E+02
