%Step      TotalEne.   Elastic Ene.   Plastic Ene.
    0  0.0000000E+00  0.0000000E+00  0.0000000E+00
    1  0.1000000E-02  0.1000000E-02  0.0000000E+00
    2  0.4000000E-02  0.4000000E-02  0.0000000E+00
    3  0.9000000E-02  0.9000000E-02  0.0000000E+00
    4  0.1600000E-01  0.1600000E-01  0.0000000E+00
    5  0.2500000E-01  0.2500000E-01  0.0000000E+00
    6  0.3600000E-01  0.3600000E-01  0.0000000E+00
    7  0.4900000E-01  0.4900000E-01  0.0000000E+00
    8  0.6400000E-01  0.6400000E-01  0.0000000E+00
    9  0.8100000E-01  0.8100000E-01  0.0000000E+00
