step,element,von,eps,yystress,yystrain
1,1,40.0,0.0,-40.0,-0.0002
2,1,80.0,0.0,-80.0,-0.0004
3,1,120.0,0.0,-120.0,-0.0006
4,1,160.0,0.0,-160.0,-0.0008
5,1,200.0,0.0,-200.0,-0.001
6,1,240.0,0.0,-240.0,-0.0012
7,1,280.0,0.0,-280.0,-0.0014
8,1,320.0,0.0,-320.0,-0.0016
9,1,360.0,0.0,-360.0,-0.0018
10,1,400.0,0.0,-400.0,-0.002
11,1,440.0,0.002,-440.0,-0.0032
12,1,480.0,0.004,-480.0,-0.0044
13,1,520.0,0.006,-520.0,-0.0056
14,1,560.0,0.008,-560.0,-0.0068
15,1,600.0,0.0099999,-600.0,-0.008
16,1,640.0,0.012,-640.0,-0.0092
17,1,680.0,0.014,-680.0,-0.0104
18,1,720.0,0.016,-720.0,-0.0116
19,1,760.0,0.018,-760.0,-0.0128
20,1,800.0,0.02,-800.0,-0.014
21,1,840.0,0.022,-840.0,-0.0152
22,1,880.0,0.024,-880.0,-0.0164
23,1,920.0,0.026,-920.0,-0.0176
24,1,960.0,0.028,-960.0,-0.0188
25,1,1000.0,0.03,-1000.0,-0.02
26,1,1040.0,0.032,-1040.0,-0.0212
27,1,1080.0,0.034,-1080.0,-0.0224
28,1,1120.0,0.036,-1120.0,-0.0236
29,1,1160.0,0.038,-1160.0,-0.0248
30,1,1200.0,0.04,-1200.0,-0.026
31,1,1240.0,0.042,-1240.0,-0.0272
32,1,1280.0,0.044,-1280.0,-0.0284
33,1,1320.0,0.046,-1320.0,-0.0296
34,1,1360.0,0.048,-1360.0,-0.0308
35,1,1400.0,0.05,-1400.0,-0.032
36,1,1440.0,0.052,-1440.0,-0.0332
37,1,1480.0,0.054,-1480.0,-0.0344
38,1,1520.0,0.056,-1520.0,-0.0356
39,1,1560.0,0.058,-1560.0,-0.0368
40,1,1600.0,0.06,-1600.0,-0.038
41,1,1640.0,0.062,-1640.0,-0.0392
42,1,1680.0,0.064,-1680.0,-0.0404
43,1,1720.0,0.066,-1720.0,-0.0416
44,1,1760.0,0.068,-1760.0,-0.0428
45,1,1800.0,0.07,-1800.0,-0.044
46,1,1840.0,0.072,-1840.0,-0.0452
47,1,1880.0,0.074,-1880.0,-0.0464
48,1,1920.0,0.076,-1920.0,-0.0476
49,1,1960.0,0.078,-1960.0,-0.0488
50,1,2000.0,0.08,-2000.0,-0.05
51,1,2040.0,0.082,-2040.0,-0.0512
52,1,2080.0,0.084,-2080.0,-0.0524
53,1,2120.0,0.086,-2120.0,-0.0536
54,1,2160.0,0.088,-2160.0,-0.0548
55,1,2200.0,0.09,-2200.0,-0.056
56,1,2240.0,0.092,-2240.0,-0.0572
57,1,2280.0,0.094,-2280.0,-0.0584
58,1,2320.0,0.096,-2320.0,-0.0596
59,1,2360.0,0.098,-2360.0,-0.0608
60,1,2400.0,0.1,-2400.0,-0.062
61,1,2440.0,0.102,-2440.0,-0.0632
62,1,2480.0,0.104,-2480.0,-0.0644
63,1,2520.0,0.106,-2520.0,-0.0656
64,1,2560.0,0.108,-2560.0,-0.0668
65,1,2600.0,0.11,-2600.0,-0.068
66,1,2640.0,0.112,-2640.0,-0.0692
67,1,2680.0,0.114,-2680.0,-0.0704
68,1,2720.0,0.116,-2720.0,-0.0716
69,1,2760.0,0.118,-2760.0,-0.0728
70,1,2800.0,0.12,-2800.0,-0.074
71,1,2840.0,0.122,-2840.0,-0.0752
72,1,2880.0,0.124,-2880.0,-0.0764
73,1,2920.0,0.126,-2920.0,-0.0776
74,1,2960.0,0.128,-2960.0,-0.0788
75,1,3000.0,0.13,-3000.0,-0.08
76,1,3040.0,0.132,-3040.0,-0.0812
77,1,3080.0,0.134,-3080.0,-0.0824
78,1,3120.0,0.136,-3120.0,-0.0836
79,1,3160.0,0.138,-3160.0,-0.0848
80,1,3200.0,0.14,-3200.0,-0.086
81,1,3240.0,0.142,-3240.0,-0.0872
82,1,3280.0,0.144,-3280.0,-0.0884
83,1,3320.0,0.146,-3320.0,-0.0896
84,1,3360.0,0.148,-3360.0,-0.0908
85,1,3400.0,0.15,-3400.0,-0.092
86,1,3440.0,0.152,-3440.0,-0.0932
87,1,3480.0,0.154,-3480.0,-0.0944
88,1,3520.0,0.156,-3520.0,-0.0956
89,1,3560.0,0.158,-3560.0,-0.0968
90,1,3600.0,0.16,-3600.0,-0.098
91,1,3640.0,0.162,-3640.0,-0.0992
92,1,3680.0,0.164,-3680.0,-0.1004
93,1,3720.0,0.166,-3720.0,-0.1016
94,1,3760.0,0.168,-3760.0,-0.1028
95,1,3800.0,0.17,-3800.0,-0.104
96,1,3840.0,0.172,-3840.0,-0.1052
97,1,3880.0,0.174,-3880.0,-0.1064
98,1,3920.0,0.176,-3920.0,-0.1076
99,1,3960.0,0.178,-3960.0,-0.1088
100,1,4000.0,0.18,-4000.0,-0.11
