% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
    1  0.55855380E-04 -0.89997251E-20  0.52145466E-20 -0.44408921E-15 -0.13845731E-14  0.80223794E-15  
    2  0.11171076E-03 -0.17999450E-19  0.10429093E-19 -0.88817842E-15 -0.27691462E-14  0.16044759E-14  
    3  0.16756614E-03 -0.47116208E-19  0.16093626E-19 -0.35527137E-14 -0.72486473E-14  0.24759425E-14  
    4  0.22342152E-03 -0.35998900E-19  0.20858186E-19 -0.17763568E-14 -0.55382923E-14  0.32089517E-14  
    5  0.27927690E-03 -0.23081648E-19  0.17046538E-19  0.11546319E-13 -0.35510227E-14  0.26225443E-14  
    6  0.33513228E-03 -0.27105054E-19  0.13234890E-19  0.17763568E-14 -0.41700084E-14  0.20361369E-14  
    7  0.39098766E-03  0.42351647E-21  0.19693516E-19  0.12434498E-13  0.65156381E-16  0.30297717E-14  
    8  0.44684304E-03  0.16940659E-19  0.20328791E-19  0.17763568E-14  0.26062552E-14  0.31275063E-14  
    9  0.50269842E-03  0.11011428E-19  0.24352197E-19 -0.21693675E-29  0.16940659E-14  0.37464919E-14  
   10  0.55855380E-03 -0.18634725E-19  0.44257471E-19  0.40856207E-13 -0.28668807E-14  0.68088418E-14  
   11  0.61440918E-03 -0.74115383E-19  0.50610219E-19  0.21316282E-13 -0.11402367E-13  0.77861875E-14  
   12  0.67026456E-03 -0.13129011E-19  0.69456702E-19  0.14210855E-13 -0.20198478E-14  0.10685646E-13  
   13  0.80902271E-03  0.42983534E-16 -0.69240497E-15  0.33015723E-09  0.61768094E-11 -0.99499811E-10  
   14  0.12832351E-02 -0.18671147E-16 -0.12462197E-14  0.46822279E-09 -0.24861298E-11 -0.13879090E-09  
   15  0.17574474E-02 -0.64742963E-16 -0.14985563E-14  0.47010928E-09 -0.73155057E-11 -0.13571206E-09  
   16  0.22316597E-02 -0.11004991E-15 -0.17181860E-14  0.46575366E-09 -0.11079037E-10 -0.13145291E-09  
   17  0.27058721E-02 -0.15413797E-15 -0.19214849E-14  0.46207660E-09 -0.14037691E-10 -0.12789006E-09  
   18  0.31800844E-02 -0.19614234E-15 -0.21100218E-14  0.45864823E-09 -0.16304907E-10 -0.12478940E-09  
   19  0.36542968E-02 -0.23746569E-15 -0.22862707E-14  0.45560711E-09 -0.18221087E-10 -0.12213507E-09  
   20  0.41285091E-02 -0.27598705E-15 -0.24516606E-14  0.45294257E-09 -0.19607275E-10 -0.11983192E-09  
   21  0.46027214E-02 -0.31378674E-15 -0.26065016E-14  0.45037751E-09 -0.20829171E-10 -0.11769781E-09  
   22  0.50769338E-02 -0.34997369E-15 -0.27532823E-14  0.44835247E-09 -0.21806097E-10 -0.11588504E-09  
   23  0.55511461E-02 -0.38464105E-15 -0.28918078E-14  0.44608583E-09 -0.22590815E-10 -0.11420181E-09  
   24  0.60253585E-02 -0.41710952E-15 -0.30232402E-14  0.44411053E-09 -0.23123904E-10 -0.11267924E-09  
   25  0.64995708E-02 -0.44863269E-15 -0.31488314E-14  0.44250470E-09 -0.23601563E-10 -0.11137025E-09  
   26  0.69737832E-02 -0.47896325E-15 -0.32679514E-14  0.44095572E-09 -0.23993998E-10 -0.11008761E-09  
   27  0.74479955E-02 -0.50908713E-15 -0.33808439E-14  0.43934989E-09 -0.24436949E-10 -0.10879490E-09  
   28  0.79222078E-02 -0.53715780E-15 -0.34901179E-14  0.43802117E-09 -0.24674438E-10 -0.10777984E-09  
