% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
    1  0.55855380E-04 -0.89997251E-20  0.52145466E-20 -0.44408921E-15 -0.13845731E-14  0.80223794E-15  
    2  0.11171076E-03 -0.17999450E-19  0.10429093E-19 -0.88817842E-15 -0.27691462E-14  0.16044759E-14  
    3  0.16756614E-03 -0.47116208E-19  0.16093626E-19 -0.35527137E-14 -0.72486473E-14  0.24759425E-14  
    4  0.22342152E-03 -0.35998900E-19  0.20858186E-19 -0.17763568E-14 -0.55382923E-14  0.32089517E-14  
    5  0.27927690E-03 -0.23081648E-19  0.17046538E-19  0.11546319E-13 -0.35510227E-14  0.26225443E-14  
    6  0.33513228E-03 -0.27105054E-19  0.13234890E-19  0.17763568E-14 -0.41700084E-14  0.20361369E-14  
    7  0.39098766E-03  0.42351647E-21  0.19693516E-19  0.12434498E-13  0.65156381E-16  0.30297717E-14  
    8  0.44684304E-03  0.16940659E-19  0.20328791E-19  0.17763568E-14  0.26062552E-14  0.31275063E-14  
    9  0.50269842E-03  0.11011428E-19  0.24352197E-19 -0.21693675E-29  0.16940659E-14  0.37464919E-14  
   10  0.55855380E-03 -0.18634725E-19  0.44257471E-19  0.40856207E-13 -0.28668807E-14  0.68088418E-14  
   11  0.61440918E-03 -0.74115383E-19  0.50610219E-19  0.21316282E-13 -0.11402367E-13  0.77861875E-14  
   12  0.67026456E-03 -0.13129011E-19  0.69456702E-19  0.14210855E-13 -0.20198478E-14  0.10685646E-13  
   13  0.72611994E-03 -0.16940659E-19  0.70727251E-19  0.21316282E-13 -0.26062552E-14  0.10881116E-13  
   14  0.78231207E-03 -0.17957098E-18  0.13129011E-19  0.35527137E-14 -0.27620328E-13  0.20194108E-14  
   15  0.13036290E-02 -0.12112571E-18 -0.18634725E-19 -0.81712415E-13 -0.14563070E-13 -0.22415328E-14  
   16  0.18249458E-02 -0.59292306E-19  0.39810549E-19 -0.63948846E-13 -0.40026345E-14  0.53498410E-14  
   17  0.23462627E-02 -0.13552527E-18  0.63527471E-19 -0.35527137E-13 -0.12621655E-13  0.72200603E-14  
   18  0.28675796E-02 -0.27274461E-18  0.38963516E-19  0.10658141E-13 -0.27365745E-13  0.27915440E-14  
   19  0.33888965E-02 -0.33034285E-18  0.30323780E-18 -0.15631940E-12 -0.29684465E-13  0.35602275E-13  
   20  0.39102134E-02 -0.18973538E-18  0.10333802E-18 -0.12789769E-12 -0.66583931E-14  0.40090388E-14  
   21  0.44315302E-02 -0.15416000E-18  0.99949888E-19 -0.23447910E-12 -0.98819826E-15  0.29079140E-14  
   22  0.49528471E-02 -0.22022857E-19  0.15585406E-18 -0.29842795E-12  0.16247846E-13  0.96682274E-14  
   23  0.54741640E-02 -0.15585406E-18  0.23039296E-18 -0.15631940E-12 -0.36728474E-14  0.17880255E-13  
   24  0.59954809E-02 -0.20667604E-18  0.23716923E-19 -0.24868996E-12 -0.97843783E-14 -0.11848640E-13  
   25  0.65167978E-02 -0.34220131E-18  0.22700483E-18 -0.14210855E-12 -0.26239190E-13  0.16639244E-13  
   26  0.70381146E-02 -0.55565361E-18  0.11180835E-18 -0.28421709E-12 -0.50882653E-13 -0.93301639E-15  
   27  0.75594315E-02 -0.55904175E-18  0.60647559E-18 -0.18474111E-12 -0.44501751E-13  0.65076389E-13  
   28  0.80807484E-02 -0.14907780E-18  0.29476747E-18 -0.19895197E-12  0.16153692E-13  0.14893789E-13  
