% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
    1  0.30000000E-04 -0.12705494E-20 -0.21572870E-20 -0.12212453E-14 -0.19546914E-15 -0.33189031E-15  
    2  0.60000000E-04 -0.25410988E-20 -0.43145741E-20 -0.24424907E-14 -0.39093828E-15 -0.66378063E-15  
    3  0.90000000E-04 -0.28587362E-20 -0.72527196E-20 -0.88817842E-14 -0.43980557E-15 -0.11158030E-14  
    4  0.12000000E-03 -0.50821977E-20 -0.86291482E-20 -0.48849813E-14 -0.78187657E-15 -0.13275613E-14  
    5  0.15000000E-03 -0.13976044E-19 -0.94761811E-20 -0.12434498E-13 -0.21501606E-14 -0.14578740E-14  
    6  0.18000000E-03 -0.12917252E-19 -0.12811373E-19 -0.22204460E-13 -0.19872696E-14 -0.19709805E-14  
    7  0.21000000E-03 -0.18846483E-19 -0.13658406E-19 -0.26645353E-13 -0.28994589E-14 -0.21012933E-14  
    8  0.24000000E-03 -0.13764285E-19 -0.94232415E-20 -0.18651747E-13 -0.21175824E-14 -0.14497295E-14  
    9  0.27000000E-03 -0.19905274E-19 -0.11752582E-19 -0.34638958E-13 -0.30623499E-14 -0.18080896E-14  
   10  0.30000000E-03 -0.26893296E-19 -0.39175274E-20 -0.53290705E-13 -0.41374302E-14 -0.60269652E-15  
   11  0.34904581E-03  0.88938459E-20  0.17173405E-13 -0.69470012E-08  0.12334018E-14  0.23816140E-08  
   12  0.39809161E-03  0.11434945E-19  0.18467105E-13 -0.98440580E-08  0.14648989E-14  0.23273351E-08  
   13  0.44713742E-03  0.12705494E-19  0.19725500E-13 -0.12741054E-07  0.14980821E-14  0.22745358E-08  
   14  0.49618322E-03  0.13976044E-19  0.20949708E-13 -0.15638049E-07  0.15287214E-14  0.22231691E-08  
   15  0.54522903E-03  0.13129011E-19  0.22140854E-13 -0.18534978E-07  0.12628772E-14  0.21731959E-08  
   16  0.59427483E-03  0.25410988E-19  0.23299944E-13 -0.21431903E-07  0.28481661E-14  0.21245673E-08  
   17  0.64332064E-03 -0.80468130E-20  0.72915381E-14 -0.28421709E-13 -0.20782143E-14 -0.30575398E-09  
   18  0.69236644E-03  0.97408789E-20  0.71299405E-14 -0.28969289E-08  0.59534262E-15 -0.29897196E-09  
   19  0.74141225E-03 -0.38116483E-20  0.69726283E-14 -0.57937335E-08 -0.13476761E-14 -0.29237088E-09  
   20  0.79045805E-03 -0.29646153E-19  0.68194322E-14 -0.86905185E-08 -0.48170248E-14 -0.28595018E-09  
   21  0.83950386E-03 -0.22869890E-19  0.66703247E-14 -0.11587291E-07 -0.34177115E-14 -0.27968998E-09  
   22  0.88854966E-03 -0.36845933E-19  0.65250976E-14 -0.14484030E-07 -0.50436844E-14 -0.27359774E-09  
   23  0.93759547E-03 -0.52092526E-19  0.63836558E-14 -0.17380698E-07 -0.66964789E-14 -0.26766473E-09  
   24  0.98664127E-03 -0.55904175E-19  0.62459384E-14 -0.20277373E-07 -0.66027986E-14 -0.26187855E-09  
   25  0.10356871E-02 -0.13552527E-19  0.61114956E-14  0.17763568E-13 -0.79054257E-16 -0.25628251E-09  
   26  0.10847329E-02 -0.32187252E-19  0.59807052E-14 -0.28965825E-08 -0.26730517E-14 -0.25080066E-09  
   27  0.11337787E-02 -0.13552527E-19  0.58533191E-14 -0.57931775E-08  0.17594647E-15 -0.24545173E-09  
   28  0.11828245E-02 -0.28799120E-19  0.57291746E-14 -0.86897352E-08 -0.19703083E-14 -0.24024097E-09  
   29  0.12318703E-02 -0.16940659E-20  0.56081412E-14 -0.11586222E-07  0.19983701E-14 -0.23516891E-09  
   30  0.12809161E-02 -0.38963516E-19  0.54901991E-14 -0.14482746E-07 -0.33948589E-14 -0.23022080E-09  
