step,element,von,eps,yystress,yystrain
1,1,37.237,0.0,-37.237,-0.00018618
2,1,74.474,0.0,-74.474,-0.00037237
3,1,111.71,0.0,-111.71,-0.00055855
4,1,148.95,0.0,-148.95,-0.00074474
5,1,186.18,0.0,-186.18,-0.00093092
6,1,223.42,0.0,-223.42,-0.0011171
7,1,260.66,0.0,-260.66,-0.0013033
8,1,297.9,0.0,-297.9,-0.0014895
9,1,335.13,0.0,-335.13,-0.0016757
10,1,372.37,0.0,-372.37,-0.0018618
11,1,409.61,0.0,-409.61,-0.002048
12,1,446.84,0.0,-446.84,-0.0022342
13,1,484.08,0.00030958,-484.08,-0.0026919
14,1,521.32,0.0018719,-521.32,-0.0042484
15,1,558.55,0.0034341,-558.55,-0.0058049
16,1,595.79,0.0049964,-595.79,-0.0073614
17,1,633.03,0.0065587,-633.03,-0.0089179
18,1,670.26,0.008121,-670.26,-0.010474
19,1,707.5,0.0096832,-707.5,-0.012031
20,1,744.74,0.011246,-744.74,-0.013587
21,1,781.98,0.012808,-781.98,-0.015144
22,1,819.21,0.01437,-819.21,-0.0167
23,1,856.45,0.015932,-856.45,-0.018257
24,1,893.69,0.017495,-893.69,-0.019813
25,1,930.92,0.019057,-930.92,-0.02137
26,1,968.16,0.020619,-968.16,-0.022926
27,1,1005.4,0.022181,-1005.4,-0.024483
28,1,1042.6,0.023744,-1042.6,-0.026039
29,1,1079.9,0.025306,-1079.9,-0.027596
30,1,1117.1,0.026868,-1117.1,-0.029152
31,1,1154.3,0.028431,-1154.3,-0.030709
32,1,1191.6,0.029993,-1191.6,-0.032265
33,1,1228.8,0.031555,-1228.8,-0.033822
34,1,1266.1,0.033117,-1266.1,-0.035378
35,1,1303.3,0.03468,-1303.3,-0.036935
36,1,1340.5,0.036242,-1340.5,-0.038491
37,1,1377.8,0.037804,-1377.8,-0.040048
38,1,1415.0,0.039366,-1415.0,-0.041604
39,1,1452.2,0.040929,-1452.2,-0.043161
40,1,1489.5,0.042491,-1489.5,-0.044717
41,1,1526.7,0.044053,-1526.7,-0.046274
42,1,1564.0,0.045616,-1564.0,-0.04783
43,1,1601.2,0.047178,-1601.2,-0.049387
44,1,1638.4,0.04874,-1638.4,-0.050943
45,1,1675.7,0.050302,-1675.7,-0.0525
46,1,1712.9,0.051865,-1712.9,-0.054056
47,1,1750.1,0.053427,-1750.1,-0.055613
48,1,1787.4,0.054989,-1787.4,-0.057169
49,1,1824.6,0.056552,-1824.6,-0.058726
50,1,1861.8,0.058114,-1861.8,-0.060282
51,1,1899.1,0.059676,-1899.1,-0.061839
52,1,1936.3,0.061238,-1936.3,-0.063395
53,1,1973.6,0.062801,-1973.6,-0.064952
54,1,2010.8,0.064363,-2010.8,-0.066508
55,1,2048.0,0.065925,-2048.0,-0.068065
56,1,2085.3,0.067487,-2085.3,-0.069621
57,1,2122.5,0.06905,-2122.5,-0.071178
58,1,2159.7,0.070612,-2159.7,-0.072734
59,1,2197.0,0.072174,-2197.0,-0.074291
60,1,2234.2,0.073737,-2234.2,-0.075847
61,1,2271.5,0.075299,-2271.5,-0.077404
62,1,2308.7,0.076861,-2308.7,-0.07896
63,1,2345.9,0.078423,-2345.9,-0.080517
64,1,2383.2,0.079986,-2383.2,-0.082073
65,1,2420.4,0.081548,-2420.4,-0.08363
66,1,2457.6,0.08311,-2457.6,-0.085186
67,1,2494.9,0.084672,-2494.9,-0.086743
68,1,2532.1,0.086235,-2532.1,-0.088299
69,1,2569.3,0.087797,-2569.3,-0.089856
70,1,2606.6,0.089359,-2606.6,-0.091412
71,1,2643.8,0.090922,-2643.8,-0.092968
72,1,2681.1,0.092484,-2681.1,-0.094525
73,1,2718.3,0.094046,-2718.3,-0.096081
74,1,2755.5,0.095608,-2755.5,-0.097638
75,1,2792.8,0.097171,-2792.8,-0.099194
76,1,2830.0,0.098733,-2830.0,-0.10075
77,1,2867.2,0.1003,-2867.2,-0.10231
78,1,2904.5,0.10186,-2904.5,-0.10386
79,1,2941.7,0.10342,-2941.7,-0.10542
80,1,2979.0,0.10498,-2979.0,-0.10698
81,1,3016.2,0.10654,-3016.2,-0.10853
82,1,3053.4,0.10811,-3053.4,-0.11009
83,1,3090.7,0.10967,-3090.7,-0.11165
84,1,3127.9,0.11123,-3127.9,-0.1132
85,1,3165.1,0.11279,-3165.1,-0.11476
86,1,3202.4,0.11436,-3202.4,-0.11632
87,1,3239.6,0.11592,-3239.6,-0.11787
88,1,3276.8,0.11748,-3276.8,-0.11943
89,1,3314.1,0.11904,-3314.1,-0.12099
90,1,3351.3,0.1206,-3351.3,-0.12254
91,1,3388.6,0.12217,-3388.6,-0.1241
92,1,3425.8,0.12373,-3425.8,-0.12565
93,1,3463.0,0.12529,-3463.0,-0.12721
94,1,3500.3,0.12685,-3500.3,-0.12877
95,1,3537.5,0.12842,-3537.5,-0.13032
96,1,3574.7,0.12998,-3574.7,-0.13188
97,1,3612.0,0.13154,-3612.0,-0.13344
98,1,3649.2,0.1331,-3649.2,-0.13499
99,1,3686.5,0.13467,-3686.5,-0.13655
100,1,3723.7,0.13623,-3723.7,-0.13811
