step,element,von,eps,yystress,yystrain
1,1,20.0,0.0,20.0,0.0001
2,1,40.0,0.0,40.0,0.0002
3,1,60.0,0.0,60.0,0.0003
4,1,80.0,0.0,80.0,0.0004
5,1,100.0,0.0,100.0,0.0005
6,1,120.0,0.0,120.0,0.0006
7,1,140.0,0.0,140.0,0.0007
8,1,160.0,0.0,160.0,0.0008
9,1,180.0,0.0,180.0,0.0009
10,1,200.0,2.3494e-19,200.0,0.001
11,1,200.95,9.5238e-05,200.95,0.0011
12,1,201.9,0.00019048,201.9,0.0012
13,1,202.86,0.00028571,202.86,0.0013
14,1,203.81,0.00038095,203.81,0.0014
15,1,204.76,0.00047619,204.76,0.0015
16,1,205.71,0.00057143,205.71,0.0016
17,1,206.67,0.00066667,206.67,0.0017
18,1,207.62,0.0007619,207.62,0.0018
19,1,208.57,0.00085714,208.57,0.0019
20,1,209.52,0.00095238,209.52,0.002
21,1,210.48,0.0010476,210.48,0.0021
22,1,211.43,0.0011429,211.43,0.0022
23,1,212.38,0.0012381,212.38,0.0023
24,1,213.33,0.0013333,213.33,0.0024
25,1,214.29,0.0014286,214.29,0.0025
26,1,215.24,0.0015238,215.24,0.0026
27,1,216.19,0.001619,216.19,0.0027
28,1,217.14,0.0017143,217.14,0.0028
29,1,218.1,0.0018095,218.1,0.0029
30,1,219.05,0.0019048,219.05,0.003
31,1,220.0,0.002,220.0,0.0031
32,1,220.95,0.0020952,220.95,0.0032
33,1,221.9,0.0021905,221.9,0.0033
34,1,222.86,0.0022857,222.86,0.0034
35,1,223.81,0.002381,223.81,0.0035
36,1,224.76,0.0024762,224.76,0.0036
37,1,225.71,0.0025714,225.71,0.0037
38,1,226.67,0.0026667,226.67,0.0038
39,1,227.62,0.0027619,227.62,0.0039
40,1,228.57,0.0028571,228.57,0.004
41,1,229.52,0.0029524,229.52,0.0041
42,1,230.48,0.0030476,230.48,0.0042
43,1,231.43,0.0031429,231.43,0.0043
44,1,232.38,0.0032381,232.38,0.0044
45,1,233.33,0.0033333,233.33,0.0045
46,1,234.29,0.0034286,234.29,0.0046
47,1,235.24,0.0035238,235.24,0.0047
48,1,236.19,0.003619,236.19,0.0048
49,1,237.14,0.0037143,237.14,0.0049
50,1,238.1,0.0038095,238.1,0.005
51,1,239.05,0.0039048,239.05,0.0051
52,1,240.0,0.004,240.0,0.0052
53,1,240.95,0.0040952,240.95,0.0053
54,1,241.9,0.0041905,241.9,0.0054
55,1,242.86,0.0042857,242.86,0.0055
56,1,243.81,0.004381,243.81,0.0056
57,1,244.76,0.0044762,244.76,0.0057
58,1,245.71,0.0045714,245.71,0.0058
59,1,246.67,0.0046667,246.67,0.0059
60,1,247.62,0.0047619,247.62,0.006
61,1,248.57,0.0048571,248.57,0.0061
62,1,249.52,0.0049524,249.52,0.0062
63,1,250.48,0.0050476,250.48,0.0063
64,1,251.43,0.0051429,251.43,0.0064
65,1,252.38,0.0052381,252.38,0.0065
66,1,253.33,0.0053333,253.33,0.0066
67,1,254.29,0.0054286,254.29,0.0067
68,1,255.24,0.0055238,255.24,0.0068
69,1,256.19,0.005619,256.19,0.0069
70,1,257.14,0.0057143,257.14,0.007
71,1,258.1,0.0058095,258.1,0.0071
72,1,259.05,0.0059048,259.05,0.0072
73,1,260.0,0.006,260.0,0.0073
74,1,260.95,0.0060952,260.95,0.0074
75,1,261.9,0.0061905,261.9,0.0075
76,1,262.86,0.0062857,262.86,0.0076
77,1,263.81,0.006381,263.81,0.0077
78,1,264.76,0.0064762,264.76,0.0078
79,1,265.71,0.0065714,265.71,0.0079
80,1,266.67,0.0066667,266.67,0.008
81,1,267.62,0.0067619,267.62,0.0081
82,1,268.57,0.0068571,268.57,0.0082
83,1,269.52,0.0069524,269.52,0.0083
84,1,270.48,0.0070476,270.48,0.0084
85,1,271.43,0.0071429,271.43,0.0085
86,1,272.38,0.0072381,272.38,0.0086
87,1,273.33,0.0073333,273.33,0.0087
88,1,274.29,0.0074286,274.29,0.0088
89,1,275.24,0.0075238,275.24,0.0089
90,1,276.19,0.007619,276.19,0.009
91,1,277.14,0.0077143,277.14,0.0091
92,1,278.1,0.0078095,278.1,0.0092
93,1,279.05,0.0079048,279.05,0.0093
94,1,280.0,0.008,280.0,0.0094
95,1,280.95,0.0080952,280.95,0.0095
96,1,281.9,0.0081905,281.9,0.0096
97,1,282.86,0.0082857,282.86,0.0097
98,1,283.81,0.008381,283.81,0.0098
99,1,284.76,0.0084762,284.76,0.0099
100,1,285.71,0.0085714,285.71,0.01
