step,element,von,eps,yystress,yystrain
1,1,40.0,0.0,-40.0,-0.0002
2,1,80.0,0.0,-80.0,-0.0004
3,1,120.0,0.0,-120.0,-0.0006
4,1,160.0,0.0,-160.0,-0.0008
5,1,200.0,0.0,-200.0,-0.001
6,1,240.0,0.0,-240.0,-0.0012
7,1,280.0,0.0,-280.0,-0.0014
8,1,320.0,0.0,-320.0,-0.0016
9,1,360.0,0.0,-360.0,-0.0018
10,1,400.0,0.0,-400.0,-0.002
11,1,440.0,0.002,-440.0,-0.0032
12,1,480.0,0.004,-480.0,-0.0044
13,1,520.0,0.006,-520.0,-0.0056
14,1,560.0,0.008,-560.0,-0.0068
15,1,600.0,0.0099999,-600.0,-0.008
16,1,640.0,0.012,-640.0,-0.0092
17,1,680.0,0.014,-680.0,-0.0104
18,1,720.0,0.016,-720.0,-0.0116
19,1,760.0,0.018,-760.0,-0.0128
20,1,800.0,0.02,-800.0,-0.014
