step,element,von,eps,yystress,yystrain,ABSyy sts,ABSyy str
1,1,20,0,-20,-0.0001,20,0.0001
2,1,40,0,-40,-0.0002,40,0.0002
3,1,60,0,-60,-0.0003,60,0.0003
4,1,80,0,-80,-0.0004,80,0.0004
5,1,100,0,-100,-0.0005,100,0.0005
6,1,120,0,-120,-0.0006,120,0.0006
7,1,140,0,-140,-0.0007,140,0.0007
8,1,160,0,-160,-0.0008,160,0.0008
9,1,180,0,-180,-0.0009,180,0.0009
10,1,200,0,-200,-0.001,200,0.001
11,1,220,0,-220,-0.0011,220,0.0011
12,1,240,0,-240,-0.0012,240,0.0012
13,1,260,0,-260,-0.0013,260,0.0013
14,1,280,0,-280,-0.0014,280,0.0014
15,1,300,0,-300,-0.0015,300,0.0015
16,1,320,0,-320,-0.0016,320,0.0016
17,1,340,0,-340,-0.0017,340,0.0017
18,1,360,0,-360,-0.0018,360,0.0018
19,1,380,0,-380,-0.0019,380,0.0019
20,1,400,0,-400,-0.002,400,0.002
21,1,420,0,-420,-0.0021,420,0.0021
22,1,440,0,-440,-0.0022,440,0.0022
23,1,460,0,-460,-0.0023,460,0.0023
24,1,477.37,2.79E-05,-477.37,-0.0024,477.37,0.0024
25,1,481.39,0.00019663,-481.39,-0.0025,481.39,0.0025
26,1,485.35,0.00036488,-485.35,-0.0026,485.35,0.0026
27,1,489.31,0.0005331,-489.31,-0.0027,489.31,0.0027
28,1,493.27,0.00070128,-493.27,-0.0028,493.27,0.0028
29,1,497.23,0.00086944,-497.23,-0.0029,497.23,0.0029
30,1,501.2,0.0010376,-501.2,-0.003,501.2,0.003
31,1,505.16,0.0012057,-505.16,-0.0031,505.16,0.0031
32,1,509.13,0.0013737,-509.13,-0.0032,509.13,0.0032
33,1,513.1,0.0015418,-513.1,-0.0033,513.1,0.0033
34,1,517.06,0.0017098,-517.06,-0.0034,517.06,0.0034
35,1,521.03,0.0018778,-521.03,-0.0035,521.03,0.0035
36,1,525,0.0020458,-525,-0.0036,525,0.0036
37,1,528.97,0.0022138,-528.97,-0.0037,528.97,0.0037
38,1,532.94,0.0023817,-532.94,-0.0038,532.94,0.0038
39,1,536.91,0.0025496,-536.91,-0.0039,536.91,0.0039
40,1,540.89,0.0027175,-540.89,-0.004,540.89,0.004
41,1,544.86,0.0028854,-544.86,-0.0041,544.86,0.0041
42,1,548.83,0.0030533,-548.83,-0.0042,548.83,0.0042
43,1,552.81,0.0032212,-552.81,-0.0043,552.81,0.0043
44,1,556.78,0.003389,-556.78,-0.0044,556.78,0.0044
45,1,560.76,0.0035569,-560.76,-0.0045,560.76,0.0045
46,1,564.73,0.0037247,-564.73,-0.0046,564.73,0.0046
47,1,568.71,0.0038925,-568.71,-0.0047,568.71,0.0047
48,1,572.68,0.0040603,-572.68,-0.0048,572.68,0.0048
49,1,576.66,0.0042281,-576.66,-0.0049,576.66,0.0049
50,1,580.64,0.0043958,-580.64,-0.005,580.64,0.005
51,1,584.62,0.0045636,-584.62,-0.0051,584.62,0.0051
52,1,588.59,0.0047313,-588.59,-0.0052,588.59,0.0052
53,1,592.57,0.0048991,-592.57,-0.0053,592.57,0.0053
54,1,596.55,0.0050668,-596.55,-0.0054,596.55,0.0054
55,1,600.53,0.0052345,-600.53,-0.0055,600.53,0.0055
56,1,604.51,0.0054023,-604.51,-0.0056,604.51,0.0056
57,1,608.49,0.00557,-608.49,-0.0057,608.49,0.0057
58,1,612.47,0.0057377,-612.47,-0.0058,612.47,0.0058
59,1,616.45,0.0059054,-616.45,-0.0059,616.45,0.0059
60,1,620.43,0.0060731,-620.43,-0.006,620.43,0.006
61,1,624.41,0.0062407,-624.41,-0.0061,624.41,0.0061
62,1,628.4,0.0064084,-628.4,-0.0062,628.4,0.0062
63,1,632.38,0.0065761,-632.38,-0.0063,632.38,0.0063
64,1,636.36,0.0067437,-636.36,-0.0064,636.36,0.0064
65,1,640.34,0.0069114,-640.34,-0.0065,640.34,0.0065
66,1,644.32,0.007079,-644.32,-0.0066,644.32,0.0066
67,1,648.31,0.0072467,-648.31,-0.0067,648.31,0.0067
68,1,652.29,0.0074143,-652.29,-0.0068,652.29,0.0068
69,1,656.27,0.0075819,-656.27,-0.0069,656.27,0.0069
70,1,660.26,0.0077496,-660.26,-0.007,660.26,0.007
71,1,664.24,0.0079172,-664.24,-0.0071,664.24,0.0071
72,1,668.22,0.0080848,-668.22,-0.0072,668.22,0.0072
73,1,672.21,0.0082524,-672.21,-0.0073,672.21,0.0073
74,1,676.19,0.00842,-676.19,-0.0074,676.19,0.0074
75,1,680.17,0.0085876,-680.17,-0.0075,680.17,0.0075
76,1,684.16,0.0087552,-684.16,-0.0076,684.16,0.0076
77,1,688.14,0.0089228,-688.14,-0.0077,688.14,0.0077
78,1,692.13,0.0090904,-692.13,-0.0078,692.13,0.0078
79,1,696.11,0.009258,-696.11,-0.0079,696.11,0.0079
80,1,700.1,0.0094256,-700.1,-0.008,700.1,0.008
81,1,704.08,0.0095932,-704.08,-0.0081,704.08,0.0081
82,1,708.07,0.0097608,-708.07,-0.0082,708.07,0.0082
83,1,712.05,0.0099284,-712.05,-0.0083,712.05,0.0083
84,1,716.04,0.010096,-716.04,-0.0084,716.04,0.0084
85,1,720.02,0.010264,-720.02,-0.0085,720.02,0.0085
86,1,724.01,0.010431,-724.01,-0.0086,724.01,0.0086
87,1,727.99,0.010599,-727.99,-0.0087,727.99,0.0087
88,1,731.98,0.010766,-731.98,-0.0088,731.98,0.0088
89,1,735.96,0.010934,-735.96,-0.0089,735.96,0.0089
90,1,739.95,0.011101,-739.95,-0.009,739.95,0.009
91,1,743.94,0.011269,-743.94,-0.0091,743.94,0.0091
92,1,747.92,0.011436,-747.92,-0.0092,747.92,0.0092
93,1,751.91,0.011604,-751.91,-0.0093,751.91,0.0093
94,1,755.89,0.011772,-755.89,-0.0094,755.89,0.0094
95,1,759.88,0.011939,-759.88,-0.0095,759.88,0.0095
96,1,763.87,0.012107,-763.87,-0.0096,763.87,0.0096
97,1,767.85,0.012274,-767.85,-0.0097,767.85,0.0097
98,1,771.84,0.012442,-771.84,-0.0098,771.84,0.0098
99,1,775.83,0.012609,-775.83,-0.0099,775.83,0.0099
100,1,779.81,0.012777,-779.81,-0.01,779.81,0.01
