step,element,von,eps,yystress,yystrain
1,1,200.0,0.0,-200.0,-0.001
2,1,400.0,0.0,-400.0,-0.002
3,1,501.57,0.0010411,-501.57,-0.003
4,1,541.49,0.0027247,-541.49,-0.004
5,1,581.2,0.0044042,-581.2,-0.005
6,1,620.95,0.0060824,-620.95,-0.006
7,1,660.74,0.0077597,-660.74,-0.007
8,1,700.56,0.0094364,-700.56,-0.008
9,1,740.39,0.011113,-740.39,-0.009
10,1,780.24,0.012789,-780.24,-0.01
11,1,820.09,0.014464,-820.09,-0.011
12,1,859.95,0.01614,-859.95,-0.012
13,1,899.82,0.017815,-899.82,-0.013
14,1,939.69,0.019491,-939.69,-0.014
15,1,979.57,0.021166,-979.57,-0.015
16,1,1019.4,0.022841,-1019.4,-0.016
17,1,1059.3,0.024516,-1059.3,-0.017
18,1,1099.2,0.026191,-1099.2,-0.018
19,1,1139.1,0.027866,-1139.1,-0.019
20,1,1179.0,0.029541,-1179.0,-0.02
21,1,1218.9,0.031216,-1218.9,-0.021
22,1,1258.7,0.032891,-1258.7,-0.022
23,1,1298.6,0.034566,-1298.6,-0.023
24,1,1338.5,0.036241,-1338.5,-0.024
25,1,1378.4,0.037916,-1378.4,-0.025
26,1,1418.3,0.039591,-1418.3,-0.026
27,1,1458.2,0.041266,-1458.2,-0.027
28,1,1498.1,0.042941,-1498.1,-0.028
29,1,1537.9,0.044616,-1537.9,-0.029
30,1,1577.8,0.046291,-1577.8,-0.03
31,1,1617.7,0.047966,-1617.7,-0.031
32,1,1657.6,0.049641,-1657.6,-0.032
33,1,1697.5,0.051315,-1697.5,-0.033
34,1,1737.4,0.05299,-1737.4,-0.034
35,1,1777.3,0.054665,-1777.3,-0.035
36,1,1817.2,0.05634,-1817.2,-0.036
37,1,1857.1,0.058015,-1857.1,-0.037
38,1,1896.9,0.05969,-1896.9,-0.038
39,1,1936.8,0.061365,-1936.8,-0.039
40,1,1976.7,0.06304,-1976.7,-0.04
41,1,2016.6,0.064715,-2016.6,-0.041
42,1,2056.5,0.06639,-2056.5,-0.042
43,1,2096.4,0.068064,-2096.4,-0.043
44,1,2136.3,0.069739,-2136.3,-0.044
45,1,2176.2,0.071414,-2176.2,-0.045
46,1,2216.0,0.073089,-2216.0,-0.046
47,1,2255.9,0.074764,-2255.9,-0.047
48,1,2295.8,0.076439,-2295.8,-0.048
49,1,2335.7,0.078114,-2335.7,-0.049
50,1,2375.6,0.079789,-2375.6,-0.05
51,1,2415.5,0.081464,-2415.5,-0.051
52,1,2455.4,0.083138,-2455.4,-0.052
53,1,2495.3,0.084813,-2495.3,-0.053
54,1,2535.2,0.086488,-2535.2,-0.054
55,1,2575.0,0.088163,-2575.0,-0.055
56,1,2614.9,0.089838,-2614.9,-0.056
57,1,2654.8,0.091513,-2654.8,-0.057
58,1,2694.7,0.093188,-2694.7,-0.058
59,1,2734.6,0.094863,-2734.6,-0.059
60,1,2774.5,0.096538,-2774.5,-0.06
61,1,2814.4,0.098213,-2814.4,-0.061
62,1,2854.3,0.099887,-2854.3,-0.062
63,1,2894.2,0.10156,-2894.2,-0.063
64,1,2934.0,0.10324,-2934.0,-0.064
65,1,2973.9,0.10491,-2973.9,-0.065
66,1,3013.8,0.10659,-3013.8,-0.066
67,1,3053.7,0.10826,-3053.7,-0.067
68,1,3093.6,0.10994,-3093.6,-0.068
69,1,3133.5,0.11161,-3133.5,-0.069
70,1,3173.4,0.11329,-3173.4,-0.07
71,1,3213.3,0.11496,-3213.3,-0.071
72,1,3253.1,0.11664,-3253.1,-0.072
73,1,3293.0,0.11831,-3293.0,-0.073
74,1,3332.9,0.11999,-3332.9,-0.074
75,1,3372.8,0.12166,-3372.8,-0.075
76,1,3412.7,0.12334,-3412.7,-0.076
77,1,3452.6,0.12501,-3452.6,-0.077
78,1,3492.5,0.12669,-3492.5,-0.078
79,1,3532.4,0.12836,-3532.4,-0.079
80,1,3572.3,0.13004,-3572.3,-0.08
81,1,3612.1,0.13171,-3612.1,-0.081
82,1,3652.0,0.13339,-3652.0,-0.082
83,1,3691.9,0.13506,-3691.9,-0.083
84,1,3731.8,0.13674,-3731.8,-0.084
85,1,3771.7,0.13841,-3771.7,-0.085
86,1,3811.6,0.14008,-3811.6,-0.086
87,1,3851.5,0.14176,-3851.5,-0.087
88,1,3891.4,0.14343,-3891.4,-0.088
89,1,3931.2,0.14511,-3931.2,-0.089
90,1,3971.1,0.14678,-3971.1,-0.09
91,1,4011.0,0.14846,-4011.0,-0.091
92,1,4050.9,0.15013,-4050.9,-0.092
93,1,4090.8,0.15181,-4090.8,-0.093
94,1,4130.7,0.15348,-4130.7,-0.094
95,1,4170.6,0.15516,-4170.6,-0.095
96,1,4210.5,0.15683,-4210.5,-0.096
97,1,4250.3,0.15851,-4250.3,-0.097
98,1,4290.2,0.16018,-4290.2,-0.098
99,1,4330.1,0.16186,-4330.1,-0.099
100,1,4370.0,0.16353,-4370.0,-0.1
