step,F_y_N,sigma_MPa,f_MPa
1,-25.983852,25.983852,-2.172643e+02
2,-51.967704,51.967704,-1.931238e+02
3,-77.951556,77.951556,-1.689833e+02
4,-103.935408,103.935408,-1.448428e+02
5,-129.919260,129.919260,-1.207024e+02
6,-155.903112,155.903112,-9.656189e+01
7,-181.886964,181.886964,-7.242142e+01
8,-207.870816,207.870816,-4.828095e+01
9,-233.854668,233.854668,-2.414047e+01
10,-259.838520,259.838520,0.000000e+00
11,-285.822372,285.822372,2.414047e+01
12,-311.806225,311.806225,4.828095e+01
13,-337.790077,337.790077,7.242142e+01
14,-363.773929,363.773929,9.656189e+01
15,-389.757781,389.757781,1.207024e+02
16,-415.741633,415.741633,1.448428e+02
17,-441.725485,441.725485,1.689833e+02
18,-467.709337,467.709337,1.931238e+02
19,-493.693189,493.693189,2.172643e+02
20,-519.677041,519.677041,2.414047e+02
21,-545.660893,545.660893,2.655452e+02
22,-571.644745,571.644745,2.896857e+02
23,-597.628597,597.628597,3.138262e+02
24,-623.612449,623.612449,3.379666e+02
25,-649.596301,649.596301,3.621071e+02
26,-675.580153,675.580153,3.862476e+02
27,-701.564005,701.564005,4.103881e+02
28,-727.547857,727.547857,4.345285e+02
29,-753.531709,753.531709,4.586690e+02
30,-779.515561,779.515561,4.828095e+02
31,-805.499413,805.499413,5.069499e+02
32,-831.483265,831.483265,5.310904e+02
33,-857.467117,857.467117,5.552309e+02
34,-883.450969,883.450969,5.793714e+02
35,-909.434821,909.434821,6.035118e+02
36,-935.418674,935.418674,6.276523e+02
37,-961.402526,961.402526,6.517928e+02
38,-987.386378,987.386378,6.759333e+02
39,-1013.370230,1013.370230,7.000737e+02
40,-1039.354082,1039.354082,7.242142e+02
41,-1065.337934,1065.337934,7.483547e+02
42,-1091.321786,1091.321786,7.724952e+02
43,-1117.305638,1117.305638,7.966356e+02
44,-1143.289490,1143.289490,8.207761e+02
45,-1169.273342,1169.273342,8.449166e+02
46,-1195.257194,1195.257194,8.690571e+02
47,-1221.241046,1221.241046,8.931975e+02
48,-1247.224898,1247.224898,9.173380e+02
49,-1273.208750,1273.208750,9.414785e+02
50,-1299.192602,1299.192602,9.656189e+02
51,-1325.176454,1325.176454,9.897594e+02
52,-1351.160306,1351.160306,1.013900e+03
53,-1377.144158,1377.144158,1.038040e+03
54,-1403.128010,1403.128010,1.062181e+03
55,-1429.111862,1429.111862,1.086321e+03
56,-1455.095714,1455.095714,1.110462e+03
57,-1481.079566,1481.079566,1.134602e+03
58,-1507.063418,1507.063418,1.158743e+03
59,-1533.047270,1533.047270,1.182883e+03
60,-1559.031123,1559.031123,1.207024e+03
61,-1585.014975,1585.014975,1.231164e+03
62,-1610.998827,1610.998827,1.255305e+03
63,-1636.982679,1636.982679,1.279445e+03
64,-1662.966531,1662.966531,1.303586e+03
65,-1688.950383,1688.950383,1.327726e+03
66,-1714.934235,1714.934235,1.351867e+03
67,-1740.918087,1740.918087,1.376007e+03
68,-1766.901939,1766.901939,1.400147e+03
69,-1792.885791,1792.885791,1.424288e+03
70,-1818.869643,1818.869643,1.448428e+03
71,-1844.853495,1844.853495,1.472569e+03
72,-1870.837347,1870.837347,1.496709e+03
73,-1896.821199,1896.821199,1.520850e+03
74,-1922.805051,1922.805051,1.544990e+03
75,-1948.788903,1948.788903,1.569131e+03
76,-1974.772755,1974.772755,1.593271e+03
77,-2000.756607,2000.756607,1.617412e+03
78,-2026.740459,2026.740459,1.641552e+03
79,-2052.724311,2052.724311,1.665693e+03
80,-2078.708163,2078.708163,1.689833e+03
81,-2104.692015,2104.692015,1.713974e+03
82,-2130.675867,2130.675867,1.738114e+03
83,-2156.659720,2156.659720,1.762255e+03
84,-2182.643572,2182.643572,1.786395e+03
85,-2208.627424,2208.627424,1.810536e+03
86,-2234.611276,2234.611276,1.834676e+03
87,-2260.595128,2260.595128,1.858816e+03
88,-2286.578980,2286.578980,1.882957e+03
89,-2312.562832,2312.562832,1.907097e+03
90,-2338.546684,2338.546684,1.931238e+03
91,-2364.530536,2364.530536,1.955378e+03
92,-2390.514388,2390.514388,1.979519e+03
93,-2416.498240,2416.498240,2.003659e+03
94,-2442.482092,2442.482092,2.027800e+03
95,-2468.465944,2468.465944,2.051940e+03
96,-2494.449796,2494.449796,2.076081e+03
97,-2520.433648,2520.433648,2.100221e+03
98,-2546.417500,2546.417500,2.124362e+03
99,-2572.401352,2572.401352,2.148502e+03
100,-2598.385204,2598.385204,2.172643e+03
