Step,PlasticStrain,DruckerPrager,YieldStress,StressDifference
1,0.00021868,52.099710,200.480611,-148.380900
2,0.00043736,104.202753,200.960283,-96.757531
3,0.00065604,156.300128,201.438983,-45.138855
4,0.00086767,203.760310,201.901375,1.858935
5,0.00105206,216.151956,202.303508,13.848448
6,0.00125781,223.581788,202.751435,20.830353
7,0.00147247,230.399459,203.217869,27.181590
8,0.00168997,237.026191,203.689541,33.336650
9,0.00190826,243.233027,204.161980,39.071048
10,0.00212708,249.063495,204.634643,44.428852
