# 硬化曲線理論データ
# 材料パラメータ:
# σy = 200.0 MPa
# hk = 200.0 MPa
# hpa = 400.0 MPa
# hpb = 10.0
Equiv_Plastic_Strain,Yield_Stress[MPa],Hardening_Increment[MPa],Hardening_Rate[MPa]
0.00000000,200.000000,0.000000,2200.000000
0.00000300,200.006607,0.006607,2199.939941
0.00000601,200.013213,0.013213,2199.879883
0.00000901,200.019819,0.019819,2199.819828
0.00001201,200.026425,0.026425,2199.759774
0.00001502,200.033031,0.033031,2199.699722
0.00001802,200.039636,0.039636,2199.639672
0.00002102,200.046242,0.046242,2199.579624
0.00002402,200.052847,0.052847,2199.519577
0.00002703,200.059452,0.059452,2199.459532
0.00003003,200.066057,0.066057,2199.399490
0.00003303,200.072662,0.072662,2199.339448
0.00003604,200.079266,0.079266,2199.279409
0.00003904,200.085871,0.085871,2199.219372
0.00004204,200.092475,0.092475,2199.159336
0.00004505,200.099079,0.099079,2199.099302
0.00004805,200.105683,0.105683,2199.039270
0.00005105,200.112286,0.112286,2198.979240
0.00005405,200.118890,0.118890,2198.919211
0.00005706,200.125493,0.125493,2198.859184
0.00006006,200.132096,0.132096,2198.799159
0.00006306,200.138699,0.138699,2198.739136
0.00006607,200.145302,0.145302,2198.679115
0.00006907,200.151904,0.151904,2198.619096
0.00007207,200.158507,0.158507,2198.559078
0.00007508,200.165109,0.165109,2198.499062
0.00007808,200.171711,0.171711,2198.439048
0.00008108,200.178313,0.178313,2198.379036
0.00008408,200.184914,0.184914,2198.319025
0.00008709,200.191516,0.191516,2198.259016
0.00009009,200.198117,0.198117,2198.199010
0.00009309,200.204718,0.204718,2198.139005
0.00009610,200.211319,0.211319,2198.079001
0.00009910,200.217920,0.217920,2198.019000
0.00010210,200.224520,0.224520,2197.959000
0.00010511,200.231121,0.231121,2197.899002
0.00010811,200.237721,0.237721,2197.839006
0.00011111,200.244321,0.244321,2197.779012
0.00011411,200.250921,0.250921,2197.719019
0.00011712,200.257521,0.257521,2197.659029
0.00012012,200.264120,0.264120,2197.599040
0.00012312,200.270719,0.270719,2197.539053
0.00012613,200.277318,0.277318,2197.479068
0.00012913,200.283917,0.283917,2197.419084
0.00013213,200.290516,0.290516,2197.359102
0.00013514,200.297115,0.297115,2197.299123
0.00013814,200.303713,0.303713,2197.239145
0.00014114,200.310311,0.310311,2197.179168
0.00014414,200.316909,0.316909,2197.119194
0.00014715,200.323507,0.323507,2197.059221
0.00015015,200.330105,0.330105,2196.999250
0.00015315,200.336702,0.336702,2196.939281
0.00015616,200.343300,0.343300,2196.879314
0.00015916,200.349897,0.349897,2196.819349
0.00016216,200.356494,0.356494,2196.759385
0.00016517,200.363091,0.363091,2196.699423
0.00016817,200.369687,0.369687,2196.639463
0.00017117,200.376284,0.376284,2196.579505
0.00017417,200.382880,0.382880,2196.519548
0.00017718,200.389476,0.389476,2196.459594
0.00018018,200.396072,0.396072,2196.399641
0.00018318,200.402668,0.402668,2196.339690
0.00018619,200.409263,0.409263,2196.279741
0.00018919,200.415859,0.415859,2196.219793
0.00019219,200.422454,0.422454,2196.159848
0.00019520,200.429049,0.429049,2196.099904
0.00019820,200.435643,0.435643,2196.039962
0.00020120,200.442238,0.442238,2195.980021
0.00020420,200.448833,0.448833,2195.920083
0.00020721,200.455427,0.455427,2195.860146
0.00021021,200.462021,0.462021,2195.800212
0.00021321,200.468615,0.468615,2195.740278
0.00021622,200.475209,0.475209,2195.680347
0.00021922,200.481802,0.481802,2195.620418
0.00022222,200.488395,0.488395,2195.560490
0.00022523,200.494989,0.494989,2195.500564
0.00022823,200.501582,0.501582,2195.440640
0.00023123,200.508174,0.508174,2195.380718
0.00023423,200.514767,0.514767,2195.320798
0.00023724,200.521360,0.521360,2195.260879
0.00024024,200.527952,0.527952,2195.200962
0.00024324,200.534544,0.534544,2195.141047
0.00024625,200.541136,0.541136,2195.081134
0.00024925,200.547728,0.547728,2195.021222
0.00025225,200.554319,0.554319,2194.961313
0.00025526,200.560911,0.560911,2194.901405
0.00025826,200.567502,0.567502,2194.841499
0.00026126,200.574093,0.574093,2194.781595
0.00026426,200.580684,0.580684,2194.721692
0.00026727,200.587274,0.587274,2194.661791
0.00027027,200.593865,0.593865,2194.601893
0.00027327,200.600455,0.600455,2194.541996
0.00027628,200.607045,0.607045,2194.482100
0.00027928,200.613635,0.613635,2194.422207
0.00028228,200.620225,0.620225,2194.362315
0.00028529,200.626815,0.626815,2194.302425
