%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
    1 -0.30000000E-04  0.10000000E-03 -0.30000000E-04  0.83527209E-15  0.50000000E+01  0.37466107E-15  
    2 -0.60000000E-04  0.20000000E-03 -0.60000000E-04  0.16705442E-14  0.10000000E+02  0.74932214E-15  
    3 -0.90000000E-04  0.30000000E-03 -0.90000000E-04  0.38794613E-14  0.15000000E+02  0.16793634E-14  
    4 -0.12000000E-03  0.40000000E-03 -0.12000000E-03  0.33410883E-14  0.20000000E+02  0.14986443E-14  
    5 -0.15000000E-03  0.50000000E-03 -0.15000000E-03  0.57819026E-14  0.25000000E+02  0.14854136E-14  
    6 -0.18000000E-03  0.60000000E-03 -0.18000000E-03  0.80156643E-14  0.30000000E+02  0.43003488E-14  
    7 -0.21000000E-03  0.70000000E-03 -0.21000000E-03  0.10955679E-13  0.35000000E+02  0.52746979E-14  
    8 -0.24000000E-03  0.80000000E-03 -0.24000000E-03  0.70455372E-14  0.40000000E+02  0.16815646E-14  
    9 -0.27000000E-03  0.90000000E-03 -0.27000000E-03  0.14007318E-13  0.45000000E+02  0.56732021E-14  
   10 -0.30000000E-03  0.10000000E-02 -0.30000000E-03  0.20395182E-13  0.50000000E+02  0.54491761E-14  
   11 -0.34904762E-03  0.11000000E-02 -0.34904762E-03 -0.27134417E-09  0.50238095E+02  0.54585939E-09  
   12 -0.39809524E-03  0.12000000E-02 -0.39809524E-03 -0.27134017E-09  0.50476190E+02  0.54586305E-09  
   13 -0.44714286E-03  0.13000000E-02 -0.44714286E-03 -0.27134434E-09  0.50714286E+02  0.54586439E-09  
   14 -0.49619048E-03  0.14000000E-02 -0.49619048E-03 -0.27134027E-09  0.50952381E+02  0.54586266E-09  
   15 -0.54523810E-03  0.15000000E-02 -0.54523810E-03 -0.27133327E-09  0.51190476E+02  0.54587414E-09  
   16 -0.59428571E-03  0.16000000E-02 -0.59428571E-03 -0.27133187E-09  0.51428571E+02  0.54586627E-09  
   17 -0.64333333E-03  0.17000000E-02 -0.64333333E-03 -0.27133565E-09  0.51666667E+02  0.54587017E-09  
   18 -0.69238095E-03  0.18000000E-02 -0.69238095E-03 -0.27132581E-09  0.51904762E+02  0.54587521E-09  
   19 -0.74142857E-03  0.19000000E-02 -0.74142857E-03 -0.27133942E-09  0.52142857E+02  0.54586789E-09  
   20 -0.79047619E-03  0.20000000E-02 -0.79047619E-03 -0.27134747E-09  0.52380952E+02  0.54586144E-09  
   21 -0.83952381E-03  0.21000000E-02 -0.83952381E-03 -0.27133815E-09  0.52619048E+02  0.54585964E-09  
   22 -0.88857143E-03  0.22000000E-02 -0.88857143E-03 -0.27135337E-09  0.52857143E+02  0.54585217E-09  
   23 -0.93761905E-03  0.23000000E-02 -0.93761905E-03 -0.27135616E-09  0.53095238E+02  0.54585583E-09  
   24 -0.98666667E-03  0.24000000E-02 -0.98666667E-03 -0.27136663E-09  0.53333333E+02  0.54583580E-09  
   25 -0.10357143E-02  0.25000000E-02 -0.10357143E-02 -0.27135649E-09  0.53571429E+02  0.54584412E-09  
   26 -0.10847619E-02  0.26000000E-02 -0.10847619E-02 -0.27137874E-09  0.53809524E+02  0.54582536E-09  
   27 -0.11338095E-02  0.27000000E-02 -0.11338095E-02 -0.27137403E-09  0.54047619E+02  0.54583537E-09  
   28 -0.11828571E-02  0.28000000E-02 -0.11828571E-02 -0.27139734E-09  0.54285714E+02  0.54581027E-09  
   29 -0.12319048E-02  0.29000000E-02 -0.12319048E-02 -0.27140875E-09  0.54523810E+02  0.54580878E-09  
   30 -0.12809524E-02  0.30000000E-02 -0.12809524E-02 -0.27140875E-09  0.54761905E+02  0.54580298E-09  
   31 -0.13300000E-02  0.31000000E-02 -0.13300000E-02 -0.27139330E-09  0.55000000E+02  0.54582089E-09  
   32 -0.13790476E-02  0.32000000E-02 -0.13790476E-02 -0.27140675E-09  0.55238095E+02  0.54579750E-09  
