%Step      TotalEne.   Elastic Ene.   Plastic Ene.
    0  0.0000000E+00  0.0000000E+00  0.0000000E+00
    1  0.6808153E-02  0.6808153E-02  0.0000000E+00
    2  0.2723261E-01  0.2723261E-01  0.0000000E+00
    3  0.6127338E-01  0.6127338E-01  0.0000000E+00
    4  0.1086106E+00  0.1002357E+00  0.8374895E-02
    5  0.1625144E+00  0.1131664E+00  0.4934802E-01
    6  0.2186319E+00  0.1222403E+00  0.9639160E-01
    7  0.2761941E+00  0.1299333E+00  0.1462608E+00
    8  0.3348824E+00  0.1371477E+00  0.1977346E+00
    9  0.3945620E+00  0.1447720E+00  0.2497899E+00
   10  0.4551932E+00  0.1529535E+00  0.3022398E+00
