% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
    1 -0.30000000E-04  0.12705494E-20  0.21572870E-20  0.12212453E-14  0.19546914E-15  0.33189031E-15  
    2 -0.60000000E-04  0.25410988E-20  0.43145741E-20  0.24424907E-14  0.39093828E-15  0.66378063E-15  
    3 -0.90000000E-04  0.28587362E-20  0.72527196E-20  0.88817842E-14  0.43980557E-15  0.11158030E-14  
    4 -0.12000000E-03  0.50821977E-20  0.86291482E-20  0.48849813E-14  0.78187657E-15  0.13275613E-14  
    5 -0.15000000E-03  0.13976044E-19  0.94761811E-20  0.12434498E-13  0.21501606E-14  0.14578740E-14  
    6 -0.18000000E-03  0.12917252E-19  0.12811373E-19  0.22204460E-13  0.19872696E-14  0.19709805E-14  
    7 -0.21000000E-03  0.18846483E-19  0.13658406E-19  0.26645353E-13  0.28994589E-14  0.21012933E-14  
    8 -0.24000000E-03  0.13764285E-19  0.94232415E-20  0.18651747E-13  0.21175824E-14  0.14497295E-14  
    9 -0.27000000E-03  0.19905274E-19  0.11752582E-19  0.34638958E-13  0.30623499E-14  0.18080896E-14  
   10 -0.30000000E-03  0.26893296E-19  0.39175274E-20  0.53290705E-13  0.41374302E-14  0.60269652E-15  
   11 -0.34904762E-03 -0.25410988E-20 -0.17184778E-13  0.69515451E-08 -0.35239688E-15 -0.23831667E-08  
   12 -0.39809524E-03 -0.16517142E-19 -0.18479469E-13  0.69515647E-08 -0.22560027E-14 -0.23288775E-08  
   13 -0.44714286E-03 -0.11011428E-19 -0.19738541E-13  0.69515487E-08 -0.12712817E-14 -0.22760838E-08  
   14 -0.49619048E-03  0.84703295E-21 -0.20962962E-13  0.69515664E-08  0.49676266E-15 -0.22247425E-08  
   15 -0.54523810E-03  0.18634725E-19 -0.22153657E-13  0.69515860E-08  0.29130010E-14 -0.21748098E-08  
   16 -0.59428571E-03  0.93173624E-20 -0.23311626E-13  0.69515895E-08  0.13334983E-14 -0.21262573E-08  
   17 -0.64333333E-03  0.18634725E-19 -0.24437696E-13  0.69515824E-08  0.24945817E-14 -0.20790363E-08  
   18 -0.69238095E-03  0.16517142E-19 -0.25532802E-13  0.69516073E-08  0.19565750E-14 -0.20331183E-08  
   19 -0.74142857E-03  0.27952087E-19 -0.26597730E-13  0.69515771E-08  0.33519654E-14 -0.19884582E-08  
   20 -0.79047619E-03  0.30092655E-35 -0.27633363E-13  0.69515398E-08 -0.85080879E-15 -0.19450291E-08  
   21 -0.83952381E-03  0.20328791E-19 -0.28640540E-13  0.69515700E-08  0.20558796E-14 -0.19028015E-08  
   22 -0.88857143E-03  0.15246593E-19 -0.29620010E-13  0.69515220E-08  0.11529811E-14 -0.18617369E-08  
   23 -0.93761905E-03 -0.38116483E-20 -0.30572436E-13  0.69515007E-08 -0.15985692E-14 -0.18217895E-08  
   24 -0.98666667E-03 -0.17787692E-19 -0.31498728E-13  0.69514599E-08 -0.33748300E-14 -0.17829528E-08  
   25 -0.10357143E-02 -0.21175824E-19 -0.32399475E-13  0.69514936E-08 -0.35092517E-14 -0.17451771E-08  
   26 -0.10847619E-02 -0.67762636E-20 -0.33275499E-13  0.69514208E-08 -0.11652956E-14 -0.17084504E-08  
   27 -0.11338095E-02  0.93173624E-20 -0.34127403E-13  0.69514474E-08  0.11819588E-14 -0.16727322E-08  
   28 -0.11828571E-02 -0.42351647E-20 -0.34955836E-13  0.69513568E-08 -0.81294254E-15 -0.16379929E-08  
   29 -0.12319048E-02  0.42351647E-20 -0.35761429E-13  0.69513089E-08  0.44254866E-15 -0.16042040E-08  
   30 -0.12809524E-02  0.11011428E-19 -0.36544913E-13  0.69513124E-08  0.13395371E-14 -0.15713538E-08  
   31 -0.13300000E-02 -0.10164395E-19 -0.37306716E-13  0.69513195E-08 -0.17276498E-14 -0.15393910E-08  
