%Step      TotalEne.   Elastic Ene.   Plastic Ene.
    0  0.0000000E+00  0.0000000E+00  0.0000000E+00
    1  0.6751579E-02  0.6751579E-02  0.0000000E+00
    2  0.2700631E-01  0.2700631E-01  0.0000000E+00
    3  0.6076421E-01  0.6076421E-01  0.0000000E+00
    4  0.1080253E+00  0.1080253E+00  0.0000000E+00
    5  0.1687895E+00  0.1687895E+00  0.0000000E+00
    6  0.2430568E+00  0.2430568E+00  0.0000000E+00
    7  0.3308274E+00  0.3308274E+00  0.0000000E+00
    8  0.4321010E+00  0.4321010E+00  0.0000000E+00
    9  0.5468779E+00  0.5468779E+00  0.0000000E+00
